sgRNA	Gene	Clip2_7_E8_control_BC21_IGO_09496_13_S13
SHISA5_38230	SHISA5	57
FAM73B_54401	FAM73B	97
EGFR_5391	EGFR	68
OLFML1_67303	OLFML1	103
GPR32_7593	GPR32	79
ATP6V1H_39133	ATP6V1H	25
ARAP1_57867	ARAP1	68
ATP4A_1396	ATP4A	46
KLHL34_66900	KLHL34	86
RGAG4_69188	RGAG4	61
MMP12_11619	MMP12	134
PHF10_42157	PHF10	72
FIBIN_70841	FIBIN	40
SPANXD_47871	SPANXD	62
DCAF11_51190	DCAF11	88
MROH2B_60171	MROH2B	97
NLRX1_49584	NLRX1	6
KIAA2022_69197	KIAA2022	95
NKD1_54886	NKD1	44
ANKRD34B_69095	ANKRD34B	30
ANKRD46_63016	ANKRD46	28
Non-Targeting Control_77196	Non-Targeting Control	212
NID1_12610	NID1	65
IGDCC3_25165	IGDCC3	428
LYL1_10897	LYL1	37
BTN3A2_30167	BTN3A2	128
HPDL_54274	HPDL	103
MYO5B_12110	MYO5B	47
KIAA0319_26204	KIAA0319	98
MEF2BNB-MEF2B_11320	MEF2BNB-MEF2B	94
CYTH1_24358	CYTH1	48
PKP4_22119	PKP4	40
Non-Targeting Control_76893	Non-Targeting Control	221
POLR2E_14380	POLR2E	81
MYH11_12057	MYH11	66
QRICH2_52856	QRICH2	83
SOX7_52260	SOX7	100
OR6C1_71756	OR6C1	32
RHAG_16128	RHAG	116
MAP2K2_14925	MAP2K2	31
B3GNT2_28895	B3GNT2	95
ZFP14_46190	ZFP14	47
KRTAP2-2_74622	KRTAP2-2	95
APOL3_51421	APOL3	148
IL13_9512	IL13	33
DIXDC1_54983	DIXDC1	128
ETV6_5868	ETV6	150
AKAP9_27141	AKAP9	27
PSMD9_15268	PSMD9	254
DRG1_12403	DRG1	195
COL6A1_3594	COL6A1	15
LAMTOR1_41287	LAMTOR1	52
DDHD1_51393	DDHD1	70
SPANXN5_73433	SPANXN5	86
CLPSL1_69114	CLPSL1	38
L3HYPDH_56876	L3HYPDH	34
ESYT3_52512	ESYT3	36
ZNF185_20778	ZNF185	38
ANKHD1-EIF4EBP3_72691	ANKHD1-EIF4EBP3	30
KIF4B_68244	KIF4B	70
ZMAT1_53660	ZMAT1	50
UGT2A2_73594	UGT2A2	141
GLB1_7194	GLB1	44
CHSY1_31011	CHSY1	52
RUFY1_50974	RUFY1	59
AMZ2_38502	AMZ2	35
CBR3_2445	CBR3	117
Non-Targeting Control_77052	Non-Targeting Control	172
HAPLN2_46884	HAPLN2	48
CD79A_2755	CD79A	20
CCNF_2503	CCNF	38
PIK3CB_13975	PIK3CB	118
