sgRNA	Gene	DE_GFP_low
C19orf57_49072	C19orf57	633
EFHC2_51011	EFHC2	877
EDA2R_46855	EDA2R	1548
MUC4_11914	MUC4	1040
OR8K5_65263	OR8K5	546
LAMTOR5_28436	LAMTOR5	332
IRF5_9715	IRF5	1226
CLDND2_58952	CLDND2	966
G3BP2_26389	G3BP2	581
ANKHD1_40880	ANKHD1	585
PPAPDC1A_64372	PPAPDC1A	839
LOC100505478_75825	LOC100505478	538
GAB2_26168	GAB2	401
RBMS3_35987	RBMS3	554
MAGEH1_36303	MAGEH1	589
FXYD2_1364	FXYD2	1310
ZNF812_74965	ZNF812	219
NDST3_24555	NDST3	627
SH2D4B_70803	SH2D4B	859
GALNT15_57954	GALNT15	576
ASB15_61109	ASB15	1409
OR4K5_49156	OR4K5	1474
OSBPL9_57313	OSBPL9	381
UBTD2_56144	UBTD2	759
HPDL_54274	HPDL	813
ARHGDIA_1141	ARHGDIA	619
LCLAT1_66309	LCLAT1	694
MAP6D1_50384	MAP6D1	329
SLC43A3_36345	SLC43A3	1041
RDH5_15965	RDH5	219
UBQLN4_44486	UBQLN4	1400
SAP25_75757	SAP25	365
PNP_12753	PNP	69
HEBP2_33262	HEBP2	376
Non-Targeting Control_77256	Non-Targeting Control	2077
SERPINF1_13651	SERPINF1	683
TESPA1_26147	TESPA1	915
SYT10_69313	SYT10	241
AKR1C2_4615	AKR1C2	358
PIGY_54696	PIGY	290
TNRC6B_31763	TNRC6B	195
NPHS1_12777	NPHS1	135
C4orf32_60088	C4orf32	1551
EGLN1_40281	EGLN1	217
GAGE10_76420	GAGE10	368
XPNPEP2_20356	XPNPEP2	383
HOXA9_8660	HOXA9	804
SYP_18576	SYP	1085
SCMH1_31334	SCMH1	607
CRIP2_3901	CRIP2	561
HEATR5A_34140	HEATR5A	178
FGFR1OP2_34618	FGFR1OP2	1018
KLHL9_43778	KLHL9	213
TMEM177_51348	TMEM177	650
LINC00452_73782	LINC00452	154
Non-Targeting Control_76828	Non-Targeting Control	1922
C7orf76_72422	C7orf76	1014
DCAF10_49142	DCAF10	554
AMY2B_778	AMY2B	796
UPRT_60723	UPRT	477
GNG4_7361	GNG4	2523
RBM24_65855	RBM24	720
Non-Targeting Control_77248	Non-Targeting Control	2765
IL17D_39542	IL17D	572
UHRF1BP1L_31647	UHRF1BP1L	276
FAM161B_61432	FAM161B	542
MAFB_26487	MAFB	636
OR2T6_66518	OR2T6	489
DUS3L_44622	DUS3L	140
MAGED2_29535	MAGED2	881
PRAME_33076	PRAME	401
ARL5A_34777	ARL5A	371
SHROOM4_45575	SHROOM4	1299
NLRP6_64279	NLRP6	469
PTX3_15536	PTX3	2053
CCDC179_75816	CCDC179	683
LOC100287036_75577	LOC100287036	856
PYCRL_48494	PYCRL	628
TGFB1_19080	TGFB1	859
CD244_39418	CD244	972
MTMR1_22942	MTMR1	846
CTNNA2_4207	CTNNA2	43
LRP4_10798	LRP4	78
NPBWR1_7514	NPBWR1	431
UXS1_50784	UXS1	437
GJA3_7148	GJA3	493
CNNM4_35071	CNNM4	349
ST6GALNAC3_66771	ST6GALNAC3	520
ZBTB12_65840	ZBTB12	594
LIN37_43774	LIN37	444
ASIP_1254	ASIP	1110
CHRNA5_3234	CHRNA5	789
ZBP1_51484	ZBP1	277
TESC_41267	TESC	264
FAAH_5995	FAAH	596
VRK2_20193	VRK2	566
F2_5937	F2	354
ZNF106_47701	ZNF106	816
GCLM_7201	GCLM	756
PIGN_33161	PIGN	471
DLL4_40256	DLL4	1135
INPP1_9619	INPP1	215
PRAMEF7_73206	PRAMEF7	1101
SPATA16_52636	SPATA16	782
C12orf50_63338	C12orf50	1487
TRUB1_61133	TRUB1	221
SRSF4_17203	SRSF4	661
NOX4_37220	NOX4	244
CCDC151_57600	CCDC151	469
IL12RB2_9508	IL12RB2	274
ADAMTS2_25048	ADAMTS2	662
METRN_48694	METRN	493
TAF4_18639	TAF4	1089
ZNF280B_61055	ZNF280B	404
DCXR_38059	DCXR	1374
TRIM6-TRIM34_73310	TRIM6-TRIM34	536
SGTB_40243	SGTB	542
RAB25_45013	RAB25	118
CXCL6_17043	CXCL6	1061
1-Dec_37242	1-Dec	1599
C9orf66_63089	C9orf66	1788
ZNF761_71075	ZNF761	566
TINAG_35912	TINAG	1320
IFT122_43299	IFT122	128
SEL1L_17119	SEL1L	318
PDE6G_13543	PDE6G	595
SETD5_41938	SETD5	267
OSGIN2_2033	OSGIN2	524
KLHL14_45860	KLHL14	838
ICAM2_9098	ICAM2	687
HSD11B1_8880	HSD11B1	459
Non-Targeting Control_76487	Non-Targeting Control	2656
OR7E24_35227	OR7E24	181
HIPK4_61857	HIPK4	504
TMEM239_75699	TMEM239	277
PLIN5_72942	PLIN5	684
SIGLEC11_57101	SIGLEC11	793
C9orf66_63091	C9orf66	830
CHST2_24814	CHST2	1036
ASPSCR1_48828	ASPSCR1	165
KIAA1211L_69578	KIAA1211L	221
ASCL2_1242	ASCL2	609
SPANXN1_73420	SPANXN1	236
POPDC3_47520	POPDC3	455
LEPROT_40474	LEPROT	389
DOK2_23684	DOK2	891
DEFB121_66162	DEFB121	596
KCNT2_69540	KCNT2	468
HTR1A_9013	HTR1A	680
ATF7IP2_50673	ATF7IP2	875
ZNF710_70310	ZNF710	160
TSHZ1_27301	TSHZ1	841
Non-Targeting Control_77109	Non-Targeting Control	1581
CCDC115_53466	CCDC115	145
MAPKAPK3_21022	MAPKAPK3	487
TRPV4_46785	TRPV4	669
Non-Targeting Control_76926	Non-Targeting Control	3210
SUDS3_47778	SUDS3	87
ANKRD60_60943	ANKRD60	395
IL1RN_9391	IL1RN	1248
TMEM80_67269	TMEM80	314
SETD1B_31633	SETD1B	464
EVC_5872	EVC	683
PCGF3_27800	PCGF3	480
TSPAN5_26998	TSPAN5	130
GPR61_52569	GPR61	298
LSM12_58821	LSM12	174
FAM69C_58948	FAM69C	417
RBM5_27274	RBM5	1692
GUF1_46954	GUF1	1501
FNIP1_56763	FNIP1	202
TBX22_37471	TBX22	1252
SCN9A_16914	SCN9A	1244
GNG11_7377	GNG11	659
HMP19_39154	HMP19	586
DSPP_5112	DSPP	716
SDHAF3_44824	SDHAF3	286
IL17REL_72305	IL17REL	1298
OR4A5_51543	OR4A5	587
SPR_18093	SPR	682
SHD_44716	SHD	40
CYP19A1_4439	CYP19A1	850
ZNF23_20521	ZNF23	1019
GTF3C6_56809	GTF3C6	183
ELP5_33241	ELP5	200
ZNF839_43343	ZNF839	751
TLE1_19242	TLE1	1167
PARK7_30732	PARK7	395
CYSLTR2_44993	CYSLTR2	808
NUPR1L_71401	NUPR1L	197
SORT1_16716	SORT1	730
EN1_5576	EN1	157
Non-Targeting Control_76958	Non-Targeting Control	2413
KRTAP12-1_70155	KRTAP12-1	747
STAC2_69419	STAC2	482
HYKK_58635	HYKK	923
ANKRD45_68944	ANKRD45	1319
CTCF_28847	CTCF	144
LY75-CD302_75999	LY75-CD302	350
RBMS3_35988	RBMS3	1166
APOD_982	APOD	687
SLC16A11_63539	SLC16A11	414
APH1B_52149	APH1B	815
Non-Targeting Control_76454	Non-Targeting Control	1438
ASPDH_73567	ASPDH	747
NFIB_12522	NFIB	594
PNLDC1_62880	PNLDC1	318
ZNF746_62965	ZNF746	710
TULP4_44806	TULP4	701
NHSL2_69192	NHSL2	814
CD320_38389	CD320	1034
NLRP13_59060	NLRP13	806
MYPN_53974	MYPN	291
TMEM177_51347	TMEM177	1759
C14orf169_49670	C14orf169	546
LY6D_22389	LY6D	394
MBD4_23433	MBD4	717
TBC1D29_34519	TBC1D29	395
HRASLS5_57942	HRASLS5	747
MAP3K5_11354	MAP3K5	341
ZNF844_67828	ZNF844	937
PDE3B_13510	PDE3B	345
CYP21A2_4443	CYP21A2	459
ROGDI_49481	ROGDI	822
CCDC185_63755	CCDC185	712
PCDHB10_43967	PCDHB10	512
C5AR1_2009	C5AR1	1517
PDE12_64922	PDE12	827
MMP20_24452	MMP20	1926
KIAA1045_32534	KIAA1045	390
BTNL3_29542	BTNL3	1106
F13B_5990	F13B	661
C8orf22_73373	C8orf22	290
CRABP1_3846	CRABP1	359
EBPL_53936	EBPL	1194
IDH3G_9156	IDH3G	1663
TMEM189_70773	TMEM189	52
SLC30A6_43002	SLC30A6	662
RAB6B_39032	RAB6B	279
SOHLH1_72560	SOHLH1	517
AKAP5_25004	AKAP5	921
NPAS1_12760	NPAS1	817
RNF139_30557	RNF139	1199
BCAT2_1614	BCAT2	1473
Non-Targeting Control_76642	Non-Targeting Control	3525
NEK10_62622	NEK10	394
NR6A1_7004	NR6A1	328
HIST2H2AC_21652	HIST2H2AC	616
ABCB5_69134	ABCB5	507
LRP2_10790	LRP2	1335
BEND4_71330	BEND4	1085
PPP2R5E_14660	PPP2R5E	633
SPATA3_59836	SPATA3	330
LCN9_72044	LCN9	762
B3GNT7_56409	B3GNT7	827
RGS11_22968	RGS11	219
SH3BP1_33322	SH3BP1	286
MED12L_57846	MED12L	634
MDH1B_59866	MDH1B	462
DNAH9_4894	DNAH9	754
PYROXD1_50335	PYROXD1	169
HAVCR2_54311	HAVCR2	136
CTSD_4242	CTSD	431
ZNF821_42674	ZNF821	286
OPN3_33273	OPN3	425
UNC79_45908	UNC79	1552
ZNF396_66251	ZNF396	939
SNN_21549	SNN	199
CPNE5_46262	CPNE5	323
UBE2Q2_56384	UBE2Q2	768
IQGAP3_59481	IQGAP3	360
PGA5_13781	PGA5	443
SMR3A_35320	SMR3A	1095
CHST3_24929	CHST3	625
IFT140_25816	IFT140	426
PHYKPL_54714	PHYKPL	703
BCOR_40871	BCOR	527
PAX1_13323	PAX1	522
HES7_53980	HES7	105
DACT2_63984	DACT2	350
LCE1D_70068	LCE1D	1759
ZNF84_20618	ZNF84	693
CSTL1_59602	CSTL1	417
TRAPPC6A_48917	TRAPPC6A	276
Non-Targeting Control_77233	Non-Targeting Control	3468
Non-Targeting Control_77083	Non-Targeting Control	2450
FGF8_6263	FGF8	379
CRMP1_3914	CRMP1	423
CTSO_4272	CTSO	1202
SEMA3A_27878	SEMA3A	785
TFF2_19049	TFF2	571
ADTRP_54254	ADTRP	60
SAMD7_69618	SAMD7	244
SOX10_17993	SOX10	1027
NID1_12610	NID1	326
CETN1_3050	CETN1	313
HIPK2_36334	HIPK2	1973
C11orf44_67243	C11orf44	244
SNAP91_26329	SNAP91	842
SLC1A5_17446	SLC1A5	685
TFAP2E_68969	TFAP2E	910
POTEA_69176	POTEA	420
TFAM_19004	TFAM	502
JUP_9927	JUP	1067
MFAP4_11408	MFAP4	316
BIN1_753	BIN1	512
VSX2_68833	VSX2	342
PKP1_14061	PKP1	801
CDKN1C_2935	CDKN1C	468
Non-Targeting Control_76714	Non-Targeting Control	1841
TYSND1_65364	TYSND1	951
ETV5_5861	ETV5	1982
KCTD3_37922	KCTD3	1087
SPATS2_48467	SPATS2	823
ABCD2_639	ABCD2	730
AKNA_51236	AKNA	321
ZNF398_45784	ZNF398	1595
ZNF704_73638	ZNF704	585
SLC25A12_22414	SLC25A12	1755
SLC25A14_23593	SLC25A14	302
CCL24_17034	CCL24	561
CT83_65096	CT83	1513
ATP5J_1445	ATP5J	318
CES2_23106	CES2	108
DIRAS1_61990	DIRAS1	1419
MMD_33074	MMD	1161
C10orf62_72755	C10orf62	893
EFR3A_31936	EFR3A	1152
PCTP_46562	PCTP	1167
FNDC3B_48030	FNDC3B	1031
DISP2_54974	DISP2	622
FOXO3_6434	FOXO3	567
CCDC101_56884	CCDC101	1086
EQTN_40294	EQTN	191
C8orf76_54525	C8orf76	769
BAX_1593	BAX	1583
VPS26A_25215	VPS26A	378
TRERF1_43449	TRERF1	921
Non-Targeting Control_76703	Non-Targeting Control	2606
SCGB3A1_56196	SCGB3A1	380
Non-Targeting Control_77234	Non-Targeting Control	2390
TBC1D10B_34304	TBC1D10B	313
SNRK_40804	SNRK	656
ZAP70_20411	ZAP70	738
TNIP1_27733	TNIP1	264
KLK14_37165	KLK14	735
HTR4_9050	HTR4	436
ELF1_5501	ELF1	2850
DGAT2L6_69840	DGAT2L6	123
ZNF362_62122	ZNF362	507
FER1L6_74444	FER1L6	728
THPO_19161	THPO	651
BTBD2_42896	BTBD2	1350
CHAMP1_67393	CHAMP1	466
CDK2AP2_27558	CDK2AP2	823
LOC643355_73781	LOC643355	672
TCERG1L_66783	TCERG1L	267
LIX1_63953	LIX1	534
NOXA1_29244	NOXA1	179
NLRP8_59064	NLRP8	684
SLC35E1_50418	SLC35E1	326
SPIN1_29573	SPIN1	458
CDNF_73171	CDNF	359
TP53INP2_46528	TP53INP2	1215
Non-Targeting Control_76581	Non-Targeting Control	2860
SDPR_21923	SDPR	1320
CACFD1_30097	CACFD1	310
LAMP1_10496	LAMP1	680
CARD11_53582	CARD11	497
LOC100287036_75579	LOC100287036	1719
USP22_32463	USP22	630
Non-Targeting Control_77387	Non-Targeting Control	2032
KIAA0408_25765	KIAA0408	529
METTL20_66387	METTL20	325
DDIT4_40193	DDIT4	1295
AS3MT_45440	AS3MT	548
CD70_2741	CD70	370
CLN5_3410	CLN5	766
WFDC6_61033	WFDC6	374
NKX2-1_19219	NKX2-1	1003
ACSL6_32397	ACSL6	1090
TBC1D19_42239	TBC1D19	2006
EPB41_5621	EPB41	487
ZNF347_53991	ZNF347	382
SRSF12_60351	SRSF12	126
LRGUK_60437	LRGUK	256
AIP_23693	AIP	756
TLR6_27791	TLR6	731
ARMCX5-GPRASP2_76091	ARMCX5-GPRASP2	658
TMEM215_72454	TMEM215	433
Non-Targeting Control_76500	Non-Targeting Control	2702
PPP2R2D_43554	PPP2R2D	1122
Non-Targeting Control_77147	Non-Targeting Control	1524
C10orf76_49339	C10orf76	538
Non-Targeting Control_76598	Non-Targeting Control	3329
NAA11_54178	NAA11	629
RBMXL2_35933	RBMXL2	742
FAM120B_53685	FAM120B	572
Non-Targeting Control_77436	Non-Targeting Control	1954
C3orf80_72351	C3orf80	848
KCNN1_10103	KCNN1	849
LPL_10768	LPL	436
ITFG3_52737	ITFG3	261
WDR44_40143	WDR44	1018
Non-Targeting Control_77226	Non-Targeting Control	1087
NUDT3_30335	NUDT3	1029
RAB28_24610	RAB28	474
GTSF1_58372	GTSF1	624
ACTR3C_74421	ACTR3C	1504
KBTBD12_63879	KBTBD12	725
Non-Targeting Control_77200	Non-Targeting Control	1990
LRRC48_52123	LRRC48	939
SLC37A4_6708	SLC37A4	921
FXYD4_39631	FXYD4	405
ZNF660_68125	ZNF660	453
TBC1D2B_31739	TBC1D2B	595
NSUN3_47097	NSUN3	318
PNMAL1_42010	PNMAL1	1270
GPR143_12953	GPR143	830
IL17RC_54237	IL17RC	268
DIS3L2_59709	DIS3L2	222
SIRPA_61058	SIRPA	955
CDC27_2819	CDC27	33
HTRA2_36122	HTRA2	368
CSDE1_20950	CSDE1	346
LGALS3BP_10601	LGALS3BP	513
COL25A1_53819	COL25A1	386
DUPD1_68754	DUPD1	733
PRR25_70941	PRR25	428
NUMBL_24313	NUMBL	1271
RGS16_16123	RGS16	215
RGS4_16104	RGS4	113
FAM19A5_33793	FAM19A5	951
CBFA2T3_2409	CBFA2T3	421
PMM2_14263	PMM2	643
SLITRK2_53888	SLITRK2	899
SMYD5_27749	SMYD5	259
P2RY13_39636	P2RY13	1041
BOLA2B_74447	BOLA2B	510
LPIN2_25532	LPIN2	330
RABIF_15699	RABIF	854
RBMS3_35990	RBMS3	1106
INPP5E_44300	INPP5E	603
MAB21L3_59248	MAB21L3	1752
Non-Targeting Control_76865	Non-Targeting Control	1533
C16orf45_55240	C16orf45	520
HGS_24020	HGS	56
CEP63_51002	CEP63	531
AGL_501	AGL	254
ZNF700_55549	ZNF700	1112
FEM1B_27060	FEM1B	116
CCDC152_75239	CCDC152	876
RWDD1_38678	RWDD1	2189
MAEA_27675	MAEA	290
LOC102724957_76433	LOC102724957	571
KIAA0907_31130	KIAA0907	95
PTGDR_15318	PTGDR	1004
FOXP4_57644	FOXP4	320
ZBTB37_53831	ZBTB37	238
AWAT1_63237	AWAT1	1001
TRAPPC2_17116	TRAPPC2	902
DCDC2C_74734	DCDC2C	914
PCDHGB1_43903	PCDHGB1	230
PRRG4_48819	PRRG4	963
KCNAB1_21045	KCNAB1	337
KIDINS220_45643	KIDINS220	421
SRRM4_53760	SRRM4	1482
ARAP2_57864	ARAP2	511
CHAD_3106	CHAD	1119
TSPAN3_27003	TSPAN3	531
C9orf173_73136	C9orf173	372
PLA2G4F_66576	PLA2G4F	268
CEACAM18_74983	CEACAM18	348
NDRG2_45469	NDRG2	255
PYGM_15617	PYGM	984
ADAMTS19_64259	ADAMTS19	2580
KRT2_10312	KRT2	449
OR2T10_59296	OR2T10	132
ARRDC4_56062	ARRDC4	259
LOC158434_63178	LOC158434	510
OR52W1_58288	OR52W1	1547
RAP2C_46447	RAP2C	921
DGKZ_22193	DGKZ	435
PHLPP1_32187	PHLPP1	667
AK9_65736	AK9	931
LRRC55_65303	LRRC55	891
PDE4B_13520	PDE4B	1157
CCDC175_74971	CCDC175	671
KCNB1_9973	KCNB1	186
SHISA8_73017	SHISA8	1741
IMMP1L_64383	IMMP1L	785
DGCR6_21416	DGCR6	956
IFNL1_67129	IFNL1	1303
OR6C68_72625	OR6C68	167
COX7B_3734	COX7B	896
RBM44_70465	RBM44	1014
KCNJ16_10078	KCNJ16	779
ANGPT4_38644	ANGPT4	2087
PLEKHG4_34007	PLEKHG4	520
ZNF677_69459	ZNF677	593
FAT4_49456	FAT4	1176
TMEM115_30024	TMEM115	353
FAM71F2_69761	FAM71F2	945
CCDC109B_41319	CCDC109B	653
Non-Targeting Control_76721	Non-Targeting Control	3515
CR1_3836	CR1	733
PRKAB2_14774	PRKAB2	715
UNC13A_31498	UNC13A	448
MOB2_51626	MOB2	342
ALOX5_668	ALOX5	128
STEAP2_67050	STEAP2	654
C1orf210_62178	C1orf210	504
SPATA6_40250	SPATA6	1321
FAM171A2_67613	FAM171A2	51
GZMM_8077	GZMM	729
NDUFA8_12294	NDUFA8	713
VN1R5_68530	VN1R5	542
IGF1R_9296	IGF1R	886
OR9Q2_65462	OR9Q2	834
LDAH_46939	LDAH	923
STEAP4_49637	STEAP4	464
DDX50_48705	DDX50	539
SERF2_27240	SERF2	243
STK40_52679	STK40	111
PPP1R14A_56754	PPP1R14A	427
SLC16A1_17645	SLC16A1	1611
Non-Targeting Control_76948	Non-Targeting Control	1236
BTNL10_75181	BTNL10	348
WTIP_59138	WTIP	311
MMP25_47685	MMP25	518
PPIL6_68275	PPIL6	99
MSGN1_69574	MSGN1	1454
SPG20_31761	SPG20	233
USP27X_71513	USP27X	1026
SPAG16_49318	SPAG16	792
SLC20A1_17677	SLC20A1	845
C2orf50_59871	C2orf50	673
CLDN23_60468	CLDN23	815
PTPN9_15437	PTPN9	778
ITGB1_9797	ITGB1	1070
ZBTB44_36377	ZBTB44	524
MANF_21036	MANF	63
SH2D4B_70802	SH2D4B	1134
KCNH7_55312	KCNH7	270
KRTAP10-5_70684	KRTAP10-5	1340
UBL4A_21481	UBL4A	1647
CASP3_2339	CASP3	1664
EIF1B_27650	EIF1B	642
LAMTOR4_71409	LAMTOR4	661
PCBD1_13373	PCBD1	1808
Non-Targeting Control_76913	Non-Targeting Control	2591
MYO6_12115	MYO6	1502
SLC4A11_52719	SLC4A11	249
ENTHD1_62310	ENTHD1	669
JMJD7-PLA2G4B_22665	JMJD7-PLA2G4B	714
SYNGR4_33120	SYNGR4	1698
KCTD9_40578	KCTD9	1476
MANBAL_47108	MANBAL	356
ITGAD_9773	ITGAD	338
KLKB1_10217	KLKB1	145
CLDN24_75444	CLDN24	2243
MT1F_11817	MT1F	79
FAM120B_53683	FAM120B	717
CIAPIN1_44858	CIAPIN1	235
HNMT_8565	HNMT	1604
VANGL1_51939	VANGL1	1030
LPA_10764	LPA	325
FAM19A4_62539	FAM19A4	92
TRMT10C_41038	TRMT10C	1122
GUSB_8025	GUSB	213
C15orf54_72198	C15orf54	761
ARL11_57564	ARL11	378
HDAC1_8263	HDAC1	95
KRBA1_53869	KRBA1	876
DNAJC28_41086	DNAJC28	334
HIBCH_34918	HIBCH	62
NGEF_33712	NGEF	2160
PRR20B_74854	PRR20B	245
BASP1_27989	BASP1	417
RPL30_16400	RPL30	1192
LILRA1_29889	LILRA1	1219
FRMPD1_30973	FRMPD1	207
KLLN_75526	KLLN	830
HIST1H4C_21753	HIST1H4C	327
GNE_26759	GNE	321
PTPRF_15482	PTPRF	357
KIRREL3_53859	KIRREL3	971
MRPL55_59494	MRPL55	1262
CRH_3881	CRH	509
CLEC7A_47835	CLEC7A	2195
CYB5D2_58868	CYB5D2	160
GGA3_31919	GGA3	653
CETN2_3053	CETN2	751
MATN1_11155	MATN1	271
WDR60_41603	WDR60	134
COX8C_69358	COX8C	1414
STAMBP_28688	STAMBP	228
IL18R1_23050	IL18R1	276
TRAFD1_29504	TRAFD1	130
RGPD6_74949	RGPD6	211
FAM217B_47188	FAM217B	433
Non-Targeting Control_76831	Non-Targeting Control	2853
PSMD7_15260	PSMD7	207
UTS2_29516	UTS2	1008
NAB2_12166	NAB2	785
OR8J1_65279	OR8J1	120
ZNF550_63587	ZNF550	2037
RNF144A_25956	RNF144A	334
CEACAM3_3090	CEACAM3	427
EMC4_38204	EMC4	550
SLC30A8_64046	SLC30A8	777
WRN_20317	WRN	84
FBXO40_39372	FBXO40	387
YDJC_62281	YDJC	1164
JDP2_58560	JDP2	504
Non-Targeting Control_77274	Non-Targeting Control	2222
BRI3BP_60927	BRI3BP	576
MT4_53809	MT4	276
LBX2_55015	LBX2	241
GMPPA_36804	GMPPA	440
PLCXD2_66855	PLCXD2	579
UBE2U_62049	UBE2U	272
COMMD1_62377	COMMD1	274
CATSPER3_69865	CATSPER3	467
KRTAP24-1_73838	KRTAP24-1	855
C1QA_1959	C1QA	1542
EOGT_68067	EOGT	595
CDH5_2847	CDH5	159
GLP2R_24536	GLP2R	422
RUSC1-AS1_67945	RUSC1-AS1	269
FAM45A_72683	FAM45A	317
ZNF524_61867	ZNF524	865
MMP12_11620	MMP12	327
APP_995	APP	475
GPR52_24413	GPR52	1325
SYCP2L_65871	SYCP2L	559
C8orf89_75260	C8orf89	354
AMY1A_764	AMY1A	304
Non-Targeting Control_77404	Non-Targeting Control	3102
SRPK3_35179	SRPK3	1908
IL36G_44218	IL36G	505
Non-Targeting Control_76966	Non-Targeting Control	2998
CCDC7_49814	CCDC7	969
DGKZ_22194	DGKZ	2907
COX16_38221	COX16	434
MIER1_46293	MIER1	1073
SH3BGRL_17276	SH3BGRL	469
HUS1B_60358	HUS1B	493
SNAI2_17736	SNAI2	551
ALDH8A1_47829	ALDH8A1	843
VSTM4_64458	VSTM4	620
RPL23A_16380	RPL23A	17
EMB_60153	EMB	903
UHRF1BP1_40902	UHRF1BP1	719
SH3RF3_69607	SH3RF3	732
TVP23C-CDRT4_76178	TVP23C-CDRT4	241
KRTAP10-8_70688	KRTAP10-8	648
SNAPC4_17843	SNAPC4	178
SEC61A2_41818	SEC61A2	753
COL1A1_3547	COL1A1	663
POLR2G_14387	POLR2G	422
C18orf54_63560	C18orf54	306
GPR21_7558	GPR21	891
AFF2_6513	AFF2	820
SAYSD1_43338	SAYSD1	539
DKKL1_35609	DKKL1	235
DFFB_4718	DFFB	1175
THEM5_67898	THEM5	333
FOLR1_6535	FOLR1	305
EFCAB14_26053	EFCAB14	570
Non-Targeting Control_76647	Non-Targeting Control	1730
COL5A1_3588	COL5A1	660
SDK1_65919	SDK1	876
FAM229B_73636	FAM229B	480
SLC16A13_64853	SLC16A13	685
PLEKHG7_72883	PLEKHG7	1315
Non-Targeting Control_76521	Non-Targeting Control	2975
DRG2_5050	DRG2	205
CD1A_2530	CD1A	275
EEF2K_36750	EEF2K	381
PAGE1_22758	PAGE1	675
HIST1H2BO_21692	HIST1H2BO	1265
LY86_24865	LY86	1612
GAP43_6872	GAP43	396
ZMPSTE24_27579	ZMPSTE24	355
GNB4_46799	GNB4	222
DCUN1D3_58670	DCUN1D3	1964
P2RX5_13188	P2RX5	450
APOBEC3H_63790	APOBEC3H	513
PRDX4_28448	PRDX4	717
KIAA0907_31129	KIAA0907	368
SHANK1_37470	SHANK1	169
PAGE1_22757	PAGE1	948
LIPT1_39112	LIPT1	265
SIX1_17389	SIX1	801
DEFA3_4684	DEFA3	150
HRASLS_45008	HRASLS	126
OLFM3_58010	OLFM3	325
ZNF449_65114	ZNF449	1043
BSDC1_41590	BSDC1	682
USP11_21456	USP11	897
PNLIPRP3_58148	PNLIPRP3	577
ZNF551_55364	ZNF551	819
CHRD_22552	CHRD	407
BSX_71727	BSX	416
FAM195A_53508	FAM195A	66
ABI3_38174	ABI3	948
OR4K1_49268	OR4K1	384
TIPARP_34240	TIPARP	281
KANK1_32013	KANK1	383
USP5_21255	USP5	359
Non-Targeting Control_76861	Non-Targeting Control	4178
C8A_2022	C8A	736
SDHAF1_73898	SDHAF1	1702
HDAC6_26732	HDAC6	391
KIRREL_42051	KIRREL	521
TTLL4_25502	TTLL4	1821
XIRP1_63863	XIRP1	359
DNAJC19_59914	DNAJC19	515
LCE3C_70099	LCE3C	636
AGAP5_74833	AGAP5	123
ALDH1A2_23206	ALDH1A2	1066
FUZ_50887	FUZ	490
MFSD2B_71213	MFSD2B	211
UPK3A_20016	UPK3A	289
Non-Targeting Control_77391	Non-Targeting Control	3074
EFNA5_5352	EFNA5	137
C3_1980	C3	536
ODF3B_73022	ODF3B	281
RS1_16658	RS1	1351
ATP4B_1399	ATP4B	644
PORCN_48139	PORCN	895
Non-Targeting Control_77121	Non-Targeting Control	3482
TMEM225_68768	TMEM225	257
ZMYM6NB_75881	ZMYM6NB	1483
MARCO_22677	MARCO	1317
SS18L1_34421	SS18L1	372
SLC25A33_53314	SLC25A33	647
SLC9B2_60143	SLC9B2	189
MAEL_54564	MAEL	446
FBXO25_34868	FBXO25	411
ARFGAP2_53550	ARFGAP2	388
HTR1A_9016	HTR1A	412
AAR2_34257	AAR2	779
SLC39A3_36974	SLC39A3	437
RXRA_16682	RXRA	482
CSN1S1_4056	CSN1S1	217
TOMM20L_70915	TOMM20L	426
UBE4A_24578	UBE4A	167
CHD1L_25212	CHD1L	62
HBD_8202	HBD	270
GJA3_7145	GJA3	443
NGB_46491	NGB	1872
B3GALT2_22743	B3GALT2	351
BLCAP_29497	BLCAP	200
DIRAS1_61991	DIRAS1	31
SPATS2_48470	SPATS2	283
PABPC3_13232	PABPC3	958
ESRP1_40743	ESRP1	2004
Non-Targeting Control_76577	Non-Targeting Control	3423
WDR7_32497	WDR7	985
SEC11A_32913	SEC11A	508
KCNJ8_10048	KCNJ8	795
SGSM3_36118	SGSM3	521
KIF3C_10160	KIF3C	468
ARID5B_53015	ARID5B	169
CMC2_44651	CMC2	1645
Non-Targeting Control_76499	Non-Targeting Control	3422
PLN_14186	PLN	1679
PPM1B_14550	PPM1B	336
RABGAP1_33380	RABGAP1	310
CYLC1_4321	CYLC1	1641
ATG16L1_41431	ATG16L1	789
AMT_757	AMT	689
RPL35A_16426	RPL35A	104
BRWD1_39726	BRWD1	1031
PLET1_70018	PLET1	346
PDCL3_48760	PDCL3	638
FOXS1_6425	FOXS1	1055
L3MBTL4_55740	L3MBTL4	207
SCD_16864	SCD	68
GNRH1_7396	GNRH1	252
WIPI1_41449	WIPI1	74
ZNF211_28355	ZNF211	155
ONECUT3_71860	ONECUT3	786
TRIM65_64875	TRIM65	770
Non-Targeting Control_76933	Non-Targeting Control	2371
TMEM14B_51972	TMEM14B	2563
TRO_19593	TRO	958
PVRL4_51769	PVRL4	918
GTPBP2_40394	GTPBP2	412
KRAS_10299	KRAS	1024
LRCH2_46078	LRCH2	643
