sgRNA	Gene	Clip2_6_E6_survival_BC20_IGO_09496_12_S12
PLCD1_14123	PLCD1	12
IRS2_22594	IRS2	2
AWAT2_63241	AWAT2	47
PDE4C_13521	PDE4C	12
ACIN1_31376	ACIN1	18
P2RX2_31326	P2RX2	13
CCDC140_62483	CCDC140	24
TOPAZ1_70477	TOPAZ1	21
TPM1_19494	TPM1	21
RSU1_16669	RSU1	9
CCDC124_57410	CCDC124	89
NR2F6_5726	NR2F6	7
TM9SF2_24651	TM9SF2	14
JUNB_9918	JUNB	14
AIMP2_21123	AIMP2	17
HID1_67568	HID1	23
TMSB10_24076	TMSB10	13
MBD1_11178	MBD1	26
VEGFA_20131	VEGFA	23
DENND2D_50478	DENND2D	3
OR2A12_69747	OR2A12	30
CSK_4051	CSK	4
MICAL1_48035	MICAL1	13
C16orf59_50854	C16orf59	33
MBD3L3_74386	MBD3L3	35
EFHD2_49095	EFHD2	32
ARPC5L_52006	ARPC5L	12
PARD6A_37424	PARD6A	23
NOC3L_47612	NOC3L	58
CALCOCO2_27484	CALCOCO2	38
TRPM3_50656	TRPM3	24
NEURL1_24027	NEURL1	16
CCDC113_36380	CCDC113	23
CHUK_3272	CHUK	17
TMEM79_53341	TMEM79	31
USP38_53909	USP38	31
ZEB1_18843	ZEB1	14
ANK3_803	ANK3	42
GDNF-AS1_76235	GDNF-AS1	23
ASB13_49857	ASB13	39
MTO1_33809	MTO1	5
SKAP2_23449	SKAP2	42
YAP1_28006	YAP1	7
NEO1_12460	NEO1	27
C9orf43_66875	C9orf43	10
SLC12A8_53812	SLC12A8	21
GPATCH11_66323	GPATCH11	27
VPRBP_25769	VPRBP	8
DHX33_44582	DHX33	26
IFNA16_9243	IFNA16	30
ATAD5_50343	ATAD5	14
AP3S2_27474	AP3S2	17
MRGPRX4_57940	MRGPRX4	25
KIAA1211L_69580	KIAA1211L	30
REXO4_45005	REXO4	24
POLA2_33422	POLA2	23
RGPD8_74495	RGPD8	7
ZNF793_71880	ZNF793	17
CIB3_57967	CIB3	15
FCN1_6177	FCN1	23
LRP10_34364	LRP10	22
TMEM244_66320	TMEM244	15
BATF_28420	BATF	19
GUCY2C_8013	GUCY2C	21
SCAMP5_64352	SCAMP5	8
AKAP12_25313	AKAP12	16
RBPJ_9350	RBPJ	14
TMEM132B_57223	TMEM132B	24
IL23R_62140	IL23R	9
VPREB1_20181	VPREB1	38
DENND2C_63676	DENND2C	16
CRACR2A_54162	CRACR2A	6
TIMELESS_23398	TIMELESS	6
FCHSD1_55160	FCHSD1	6
MAD2L1BP_25302	MAD2L1BP	7
KCNA2_9946	KCNA2	14
MCHR1_7570	MCHR1	22
UBXN8_21162	UBXN8	18
ZNF366_63959	ZNF366	12
WIPF1_20221	WIPF1	17
SLC39A3_36972	SLC39A3	16
C2CD4D_75554	C2CD4D	8
TBC1D14_45752	TBC1D14	21
PPP1R2_14578	PPP1R2	6
MMP8_11603	MMP8	7
FOXP1_35531	FOXP1	2
SOX2_17973	SOX2	24
AKT2_575	AKT2	6
PDE4A_13514	PDE4A	16
SLC38A3_29779	SLC38A3	27
VCX_35221	VCX	4
HIST1H3F_23486	HIST1H3F	36
RABGEF1_36075	RABGEF1	17
TRAIP_27664	TRAIP	5
REEP4_51195	REEP4	25
IGHMBP2_9343	IGHMBP2	9
NUAK2_51897	NUAK2	33
LRCOL1_75938	LRCOL1	15
CYB5R1_39348	CYB5R1	31
SPARC_18045	SPARC	32
SPAG4_18038	SPAG4	9
FAM171B_63827	FAM171B	29
RGS4_16104	RGS4	33
VIMP_43509	VIMP	7
CHST10_24980	CHST10	31
KCTD16_45731	KCTD16	16
CLPX_29304	CLPX	26
DDR2_12916	DDR2	16
INAFM1_66663	INAFM1	16
SNIP1_49851	SNIP1	10
HN1_37986	HN1	9
TRIM77_71714	TRIM77	22
CEBPD_3011	CEBPD	41
TMEM116_55234	TMEM116	16
NME7_36790	NME7	64
DDTL_75114	DDTL	5
SIK3_32661	SIK3	30
PNPLA6_29507	PNPLA6	15
OMP_13034	OMP	20
KRT33B_10394	KRT33B	46
Non-Targeting Control_76993	Non-Targeting Control	33
PIGA_13936	PIGA	14
OR6C70_71767	OR6C70	16
WNK4_48503	WNK4	18
MBOAT4_73642	MBOAT4	15
RPL36A-HNRNPH2_76103	RPL36A-HNRNPH2	12
BAG4_25117	BAG4	25
CHST12_42544	CHST12	10
LAMA1_67691	LAMA1	34
APCDD1L_63765	APCDD1L	11
PLIN3_27427	PLIN3	5
ACSM3_16800	ACSM3	58
FUK_64504	FUK	30
RMDN2_62504	RMDN2	20
RWDD2A_56824	RWDD2A	29
HIST1H3E_21710	HIST1H3E	35
GZMB_8069	GZMB	18
DRD2_5036	DRD2	65
POLK_38727	POLK	4
ZNF714_61976	ZNF714	10
VCP_20109	VCP	5
DUSP11_21954	DUSP11	4
DTX3_64405	DTX3	17
AFF1_11555	AFF1	8
CASP10_2368	CASP10	6
NDST2_22147	NDST2	26
PKDCC_55858	PKDCC	21
EVX1_5890	EVX1	21
POLG_14355	POLG	14
DALRD3_41738	DALRD3	9
ZNF286A_45359	ZNF286A	40
KCNJ1_10025	KCNJ1	26
OR14A16_67916	OR14A16	14
CASP4_2343	CASP4	24
ACAT2_122	ACAT2	6
PCDHGB7_43885	PCDHGB7	30
EGR2_5399	EGR2	1
ASPHD1_66384	ASPHD1	35
FCGRT_6170	FCGRT	34
SNX2_17924	SNX2	11
MINOS1-NBL1_76147	MINOS1-NBL1	37
ERGIC1_45314	ERGIC1	11
STK16_22379	STK16	18
OR4D6_65503	OR4D6	47
LDLRAP1_34601	LDLRAP1	20
HOXC9_8731	HOXC9	49
POMZP3_31278	POMZP3	16
TMEM63A_25750	TMEM63A	15
MINOS1-NBL1_76146	MINOS1-NBL1	24
FBP1_6121	FBP1	4
PRDX1_13262	PRDX1	13
GPR21_7559	GPR21	33
A4GALT_39718	A4GALT	7
ZNF624_45803	ZNF624	37
ZNF772_72250	ZNF772	30
IRF2BPL_47515	IRF2BPL	33
METTL10_72132	METTL10	12
CA12_2134	CA12	4
AFM_484	AFM	9
FGF7_6258	FGF7	25
MANEAL_62133	MANEAL	12
PTCH2_22538	PTCH2	29
FAM71A_62213	FAM71A	22
PRSS57_72238	PRSS57	11
CUZD1_37280	CUZD1	26
OR1J2_35287	OR1J2	18
CYP2A13_4360	CYP2A13	5
MOBP_11668	MOBP	24
TRIM39-RPP21_65012	TRIM39-RPP21	10
TXNDC5_51713	TXNDC5	15
GUCA2A_7997	GUCA2A	26
HFE2_62058	HFE2	28
FBXL13_65978	FBXL13	21
MGAT1_11421	MGAT1	6
KRT12_10351	KRT12	60
KRTAP3-3_54776	KRTAP3-3	49
METTL15_64374	METTL15	15
SRGAP2C_74318	SRGAP2C	67
ATOH8_54459	ATOH8	12
CDC25A_2808	CDC25A	9
UROS_20044	UROS	2
DPM2_23084	DPM2	32
MC5R_11210	MC5R	9
FXYD4_39632	FXYD4	9
CCDC3_52319	CCDC3	34
TMPRSS11E_36293	TMPRSS11E	34
GRM6_7808	GRM6	11
SIPA1_17387	SIPA1	33
TMEM9_66247	TMEM9	60
SH3BP2_17278	SH3BP2	10
TVP23A_75106	TVP23A	25
SACS_34928	SACS	7
FXR2_25059	FXR2	12
STK32A_65000	STK32A	19
PTF1A_66740	PTF1A	37
C2orf47_49276	C2orf47	26
TTI1_25573	TTI1	2
RPRM_44256	RPRM	16
NR1I3_26603	NR1I3	14
KDSR_6674	KDSR	5
GPR137C_67409	GPR137C	14
XRCC4_20373	XRCC4	13
CEACAM7_3096	CEACAM7	20
APP_996	APP	20
LMAN2_29680	LMAN2	18
IFNA13_9236	IFNA13	14
TMEM184B_33838	TMEM184B	7
HMGXB3_31401	HMGXB3	13
NPAS2_12763	NPAS2	27
AFAP1L2_53894	AFAP1L2	25
ZNF703_50763	ZNF703	23
SPAG11A_74307	SPAG11A	3
BMP6_1791	BMP6	19
F8A2_73367	F8A2	13
CCL22_17026	CCL22	68
C18orf42_73694	C18orf42	34
PAQR3_62684	PAQR3	43
MTRNR2L6_75797	MTRNR2L6	22
RANBP17_48235	RANBP17	15
SLC7A10_44220	SLC7A10	47
FHL5_24893	FHL5	9
ATP1A3_1337	ATP1A3	19
PINLYP_71886	PINLYP	31
MAN2C1_11080	MAN2C1	48
SMIM18_75961	SMIM18	11
APOBEC3H_63791	APOBEC3H	35
USP39_28953	USP39	3
PCED1A_48018	PCED1A	13
HOXA1_8632	HOXA1	7
FICD_30287	FICD	33
SUSD1_47755	SUSD1	28
PODXL2_37238	PODXL2	19
FGFBP3_61164	FGFBP3	8
TBR1_28963	TBR1	25
MED23_24827	MED23	25
SNX19_72171	SNX19	4
ZNF438_65625	ZNF438	12
MAT2A_11146	MAT2A	20
PDE11A_37462	PDE11A	14
GSN_7858	GSN	12
C5orf38_62797	C5orf38	17
CYP46A1_29342	CYP46A1	28
KAAG1_70124	KAAG1	44
CD3G_2563	CD3G	39
CCDC102B_50108	CCDC102B	14
IQCB1_25516	IQCB1	4
DDX60_42752	DDX60	25
HYAL1_9073	HYAL1	17
DBP_4554	DBP	13
KLK5_33796	KLK5	21
C15orf26_63437	C15orf26	9
SORBS1_28568	SORBS1	24
LIPK_73800	LIPK	10
YBX1_12868	YBX1	7
RAB11A_22913	RAB11A	24
DPY19L2_67354	DPY19L2	22
REEP5_21060	REEP5	14
ACOT6_73655	ACOT6	94
DAXX_4527	DAXX	9
PDZRN3_31493	PDZRN3	10
INSM2_54026	INSM2	29
UVSSA_46131	UVSSA	11
RNMTL1_41824	RNMTL1	9
C9orf41_60564	C9orf41	20
LYZL6_45136	LYZL6	61
DUSP19_61096	DUSP19	6
RPS6KA6_36035	RPS6KA6	11
MAPRE2_29753	MAPRE2	46
PGPEP1L_61483	PGPEP1L	10
ITGA2B_9750	ITGA2B	18
KLF1_28840	KLF1	31
DLX2_4828	DLX2	9
SEC23A_28245	SEC23A	23
ST18_25683	ST18	28
SLC7A6OS_52976	SLC7A6OS	32
CKS1B_3311	CKS1B	15
SLN_17725	SLN	32
OSTC_46620	OSTC	4
SCGB2B2_67830	SCGB2B2	4
G2E3_42870	G2E3	32
CAMK2A_2255	CAMK2A	20
SLC22A31_61583	SLC22A31	42
ERICH3_59319	ERICH3	28
AEBP2_58402	AEBP2	12
HK2_8366	HK2	21
EXT2_5903	EXT2	38
TARS_18719	TARS	4
RNF185_55851	RNF185	9
NFX1_12569	NFX1	9
RBMY1J_70637	RBMY1J	3
ARHGAP10_49542	ARHGAP10	13
TLCD2_74515	TLCD2	22
OR6X1_71732	OR6X1	17
STXBP5L_25065	STXBP5L	8
NT5C_37113	NT5C	18
PKNOX2_47060	PKNOX2	7
HSP90B1_19549	HSP90B1	10
CEP19_54672	CEP19	6
ZBTB2_46048	ZBTB2	9
OBSL1_32585	OBSL1	27
ATP10A_45265	ATP10A	19
SMTNL2_69404	SMTNL2	9
ITM2B_24851	ITM2B	26
NDST2_22146	NDST2	19
RNF122_50133	RNF122	19
HIPK1_65152	HIPK1	27
C21orf33_21409	C21orf33	33
CFI_9170	CFI	4
HEPACAM_65596	HEPACAM	34
EXOSC1_37531	EXOSC1	13
KDM3A_43479	KDM3A	21
FBXL4_34811	FBXL4	23
1-Mar_41333	1-Mar	15
EME2_64522	EME2	12
CCDC9_34553	CCDC9	14
CHAMP1_67396	CHAMP1	57
ORC2_13098	ORC2	6
P2RX7_13191	P2RX7	23
CCDC91_42244	CCDC91	48
CHTF8_41003	CHTF8	9
SEMA3C_28327	SEMA3C	7
PRKG2_14877	PRKG2	29
CLN8_5701	CLN8	16
STX2_5699	STX2	25
SECISBP2L_25761	SECISBP2L	10
HAX1_28137	HAX1	13
C7orf69_50695	C7orf69	2
ME3_29385	ME3	14
FNDC5_66263	FNDC5	12
IFNA13_9235	IFNA13	17
ENTPD7_44939	ENTPD7	30
PALM2_57114	PALM2	9
CDS1_2971	CDS1	30
LOC388849_71206	LOC388849	25
PDPK1_13629	PDPK1	2
ELK1_5521	ELK1	18
FGF10_6269	FGF10	5
KRT32_10387	KRT32	50
DERA_37693	DERA	38
PIGU_59639	PIGU	45
GPM6A_7481	GPM6A	36
GIPR_7139	GIPR	13
EYS_69724	EYS	9
GRP_7830	GRP	10
ZNF226_20859	ZNF226	17
TMCO6_42482	TMCO6	18
BZW2_36249	BZW2	36
GRID1_7722	GRID1	53
MFSD4_62076	MFSD4	23
HADH_8164	HADH	8
PCDH19_45730	PCDH19	16
TMEM126B_43615	TMEM126B	18
OR56A1_58295	OR56A1	49
LIN52_55987	LIN52	6
ZP3_20908	ZP3	13
PPP2R2B_14626	PPP2R2B	51
RNF151_61563	RNF151	7
DPP7_36888	DPP7	33
CLEC18B_73459	CLEC18B	10
METTL5_36408	METTL5	26
CARD10_36599	CARD10	16
PLA2G4B_75509	PLA2G4B	11
NOTCH3_12735	NOTCH3	19
POLR3F_28698	POLR3F	8
SPCS1_36260	SPCS1	26
CPO_59863	CPO	28
POPDC3_47519	POPDC3	16
OR6C3_66506	OR6C3	40
CREG1_23034	CREG1	33
AAK1_30989	AAK1	30
MRPS34_48576	MRPS34	2
RAB32_29749	RAB32	13
GTF2F1_7942	GTF2F1	15
MFGE8_11412	MFGE8	32
KDM6A_20069	KDM6A	25
GPR18_7548	GPR18	12
EPHA6_68071	EPHA6	2
STAT5B_18364	STAT5B	7
PRKAG1_14797	PRKAG1	22
DYRK3_21945	DYRK3	14
CFAP45_33709	CFAP45	14
RBL1_15905	RBL1	38
GAGE2D_74906	GAGE2D	3
ZNF516_25520	ZNF516	7
RIMS2_25657	RIMS2	24
COPS7B_47899	COPS7B	16
DNAJC6_26116	DNAJC6	5
C9orf106_72772	C9orf106	24
MRPL40_48316	MRPL40	4
GPI_7474	GPI	12
OCLN_75914	OCLN	18
PDIA6_27103	PDIA6	25
SLC22A13_24690	SLC22A13	18
DNAJC27_38327	DNAJC27	13
STC1_18379	STC1	24
GTF2H2_7954	GTF2H2	23
BSN_23423	BSN	11
NHLH1_12593	NHLH1	15
CHRNA3_3228	CHRNA3	11
PA2G4_13221	PA2G4	22
C7orf76_72424	C7orf76	27
APCDD1L_63768	APCDD1L	14
SLC6A8_17541	SLC6A8	27
CHADL_62317	CHADL	40
MT4_53810	MT4	5
C15orf43_61459	C15orf43	29
TXN2_33831	TXN2	5
OR10R2_69529	OR10R2	8
GUK1_8021	GUK1	5
PRR23D1_75388	PRR23D1	10
NOV_12744	NOV	27
ANKRD2_34958	ANKRD2	24
DAZAP1_35137	DAZAP1	75
ULK2_25687	ULK2	24
CLCN2_3348	CLCN2	17
OR5AC2_51508	OR5AC2	33
MAB21L2_28581	MAB21L2	33
TESC_41267	TESC	13
SNRPD3_17889	SNRPD3	4
ILF2_9552	ILF2	1
JMJD7_75506	JMJD7	11
NAT8B_38830	NAT8B	29
USP47_41373	USP47	11
PPP2R5D_14655	PPP2R5D	14
POMT1_28578	POMT1	12
THAP10_44535	THAP10	7
LDLRAD2_72522	LDLRAD2	14
ZNF214_20831	ZNF214	31
PLG_14149	PLG	16
AKAP12_25315	AKAP12	8
AFF3_10443	AFF3	29
GABPB1_6733	GABPB1	7
N6AMT1_36488	N6AMT1	16
NPC2_28553	NPC2	12
MPHOSPH6_27326	MPHOSPH6	8
HID1_67567	HID1	14
SPACA7_58460	SPACA7	14
PRR5L_50309	PRR5L	18
RGPD1_72321	RGPD1	9
EPC2_34609	EPC2	34
PERM1_54213	PERM1	1
SEL1L2_51186	SEL1L2	46
PLCH1_31439	PLCH1	31
DEAF1_28364	DEAF1	9
CENPT_50802	CENPT	15
RNF103-CHMP3_76026	RNF103-CHMP3	37
KCTD11_61732	KCTD11	27
PYGL_15615	PYGL	12
PDE1A_13495	PDE1A	14
TESC_41270	TESC	34
PPM1D_22087	PPM1D	14
GPR3_7500	GPR3	32
ARL5B_65688	ARL5B	8
HARS2_32817	HARS2	32
ACOT8_26704	ACOT8	39
STAT3_18349	STAT3	43
GP1BA_7441	GP1BA	6
DSCC1_48870	DSCC1	14
PNLIP_14294	PNLIP	36
ZBTB34_72645	ZBTB34	21
C7orf69_50698	C7orf69	21
OR5F1_68773	OR5F1	50
APOL4_51418	APOL4	15
KIAA1211_45596	KIAA1211	26
ATP6V0D2_66185	ATP6V0D2	36
VN1R1_45257	VN1R1	27
PPP1CB_14565	PPP1CB	35
NRXN2_24665	NRXN2	11
USP17L15_75681	USP17L15	2
MYBBP1A_28333	MYBBP1A	8
KISS1_10201	KISS1	8
LOC100129083_75176	LOC100129083	4
BAALC_50210	BAALC	20
ZNF174_20751	ZNF174	18
SLC37A2_65400	SLC37A2	53
POGLUT1_44767	POGLUT1	34
ADAM30_30076	ADAM30	17
NUP50_29093	NUP50	7
IL1B_9380	IL1B	24
C19orf52_55542	C19orf52	8
ATP2A1_1367	ATP2A1	33
ZBBX_49809	ZBBX	16
HAPLN3_61493	HAPLN3	4
FASLG_1010	FASLG	13
C2orf83_44577	C2orf83	44
KIAA1429_34209	KIAA1429	14
SEC22A_35348	SEC22A	13
AKAP5_25003	AKAP5	44
SNAPIN_33165	SNAPIN	18
GRM8_7814	GRM8	11
PRPF18_22320	PRPF18	12
INSM1_9660	INSM1	58
COL9A1_3620	COL9A1	43
PHYHD1_66458	PHYHD1	11
TMEM86B_66549	TMEM86B	25
NINL_31359	NINL	14
TBC1D28_66455	TBC1D28	2
ALS2CR12_59828	ALS2CR12	8
TNK2_27288	TNK2	6
TIE1_19197	TIE1	48
CRLF2_47391	CRLF2	18
GGA3_31921	GGA3	21
CD27_2622	CD27	47
ID2_9123	ID2	2
VIMP_43507	VIMP	37
SLC4A10_45340	SLC4A10	7
OSR1_59810	OSR1	11
LMO3_43654	LMO3	50
LOC100130357_75278	LOC100130357	19
MKKS_21390	MKKS	55
SMTNL1_65306	SMTNL1	24
VPS52_16787	VPS52	8
MRC2_26367	MRC2	21
ERVMER34-1_75675	ERVMER34-1	14
ZBTB1_31133	ZBTB1	9
CRLS1_40389	CRLS1	22
SWI5_70552	SWI5	6
FAM169A_34449	FAM169A	54
GALT_6858	GALT	34
C15orf40_58599	C15orf40	8
TMCO3_41279	TMCO3	30
PLA2G4D_67486	PLA2G4D	36
COL1A1_3545	COL1A1	7
LOC100130370_75287	LOC100130370	40
ADH4_345	ADH4	13
RXRG_16692	RXRG	20
DEFB112_66138	DEFB112	12
LHX5_47529	LHX5	32
ZNF717_75401	ZNF717	24
PQLC1_50789	PQLC1	6
NKX2-5_4165	NKX2-5	12
DMP1_4860	DMP1	23
ATAT1_50493	ATAT1	14
KRTAP5-5_72824	KRTAP5-5	1
RNF17_44083	RNF17	26
CDADC1_51753	CDADC1	32
CXCL12_17079	CXCL12	11
SOS1_17961	SOS1	17
FAM171A2_67614	FAM171A2	32
EVI5_20954	EVI5	39
ZNF695_45026	ZNF695	57
HOXB8_8708	HOXB8	18
GALP_55052	GALP	19
APELA_75865	APELA	8
FAM214B_51008	FAM214B	10
FLNC_6461	FLNC	38
ZASP_76353	ZASP	3
PPP2R4_14637	PPP2R4	3
TAS1R1_51427	TAS1R1	12
ACOXL_42218	ACOXL	16
NUMB_22565	NUMB	21
HSD17B7_38849	HSD17B7	2
LENG9_56669	LENG9	25
EVI5L_57542	EVI5L	5
CACNA1S_2163	CACNA1S	11
BTG1_1924	BTG1	11
APEX2_35979	APEX2	52
MT1X_11836	MT1X	54
ZNF366_63958	ZNF366	25
FAM179A_63823	FAM179A	18
DPH5_39139	DPH5	28
DGAT2L6_69840	DGAT2L6	11
ZC3H11A_26274	ZC3H11A	2
TFAP4_19019	TFAP4	9
ADSL_441	ADSL	23
SAMD4A_31528	SAMD4A	3
CENPO_49068	CENPO	6
CACNA1A_2137	CACNA1A	25
CKAP4_29713	CKAP4	14
SLC39A6_33745	SLC39A6	21
SLC16A7_24146	SLC16A7	26
CEP135_25527	CEP135	3
BECN1_22664	BECN1	14
ZNF230_20873	ZNF230	5
ANKS1B_44509	ANKS1B	57
ABR_81	ABR	11
OGFOD1_42046	OGFOD1	12
GLIS2_53970	GLIS2	13
PTPN3_15421	PTPN3	30
MCF2L_32271	MCF2L	12
ZNF654_42175	ZNF654	25
APLF_64736	APLF	40
SLC43A1_22115	SLC43A1	8
CT45A6_73497	CT45A6	7
GLT8D1_43512	GLT8D1	20
BACE1_33338	BACE1	6
ZNF91_20634	ZNF91	32
ASL_1260	ASL	13
DPH6_55266	DPH6	11
DICER1_32717	DICER1	1
DACT2_63983	DACT2	9
PGK2_13814	PGK2	10
CREM_3880	CREM	51
SMN1_17784	SMN1	19
IQCB1_25513	IQCB1	26
TEDDM1_59399	TEDDM1	52
BTBD7_43163	BTBD7	21
TSHZ2_59572	TSHZ2	12
SART1_23836	SART1	4
ZNF471_45890	ZNF471	29
FTSJ3_57945	FTSJ3	9
YTHDF2_38772	YTHDF2	17
AFF4_35628	AFF4	25
LTA_10829	LTA	28
ZFYVE16_25899	ZFYVE16	26
LEPR_10579	LEPR	14
STAT4_18355	STAT4	4
MLLT10_21195	MLLT10	12
RIOK3_22954	RIOK3	35
PEX11G_56397	PEX11G	20
LIMA1_38838	LIMA1	13
CCT3_19581	CCT3	5
MPV17L_66547	MPV17L	10
NIPAL4_69987	NIPAL4	32
COQ7_27437	COQ7	25
CRYGN_62958	CRYGN	25
FIBIN_70841	FIBIN	14
PDGFA_13567	PDGFA	18
CSRNP1_47878	CSRNP1	60
FCHSD2_26261	FCHSD2	24
ZNF578_61805	ZNF578	4
CISD1_43563	CISD1	37
HDAC2_8267	HDAC2	14
PHF20L1_37822	PHF20L1	51
EBAG9_24066	EBAG9	18
STK39_36098	STK39	3
COQ5_53309	COQ5	6
PDSS1_33253	PDSS1	8
DLD_4797	DLD	5
DCLRE1A_26494	DCLRE1A	24
TMEM169_56313	TMEM169	13
IQCF1_60023	IQCF1	31
MRPS10_41806	MRPS10	21
NAALADL1_26699	NAALADL1	65
WHSC1_20249	WHSC1	15
TAS2R19_67008	TAS2R19	17
LLPH_53392	LLPH	33
ERGIC3_39145	ERGIC3	13
MINK1_37209	MINK1	10
TULP2_19747	TULP2	14
SLC37A4_6706	SLC37A4	43
HLA-G_8457	HLA-G	36
UNC13C_72914	UNC13C	5
ATG2B_41568	ATG2B	26
WEE1_20241	WEE1	27
APOM_43764	APOM	21
DZIP1L_64544	DZIP1L	25
C1orf141_72272	C1orf141	28
HTRA1_15076	HTRA1	52
MAPK8_14904	MAPK8	25
SCN1B_16880	SCN1B	61
CATSPERG_46456	CATSPERG	13
GRIA1_7707	GRIA1	14
ARRB2_1192	ARRB2	12
KLF8_30689	KLF8	26
METTL12_75083	METTL12	13
PCDH9_13409	PCDH9	24
PEMT_27963	PEMT	35
TRIM40_60361	TRIM40	28
DNAJB11_39376	DNAJB11	18
PROX1_15003	PROX1	16
ZNF614_50703	ZNF614	18
CD177_45062	CD177	51
TDRD7_32782	TDRD7	33
C20orf202_72290	C20orf202	22
BTG2_20967	BTG2	53
IKZF1_27744	IKZF1	20
KLF7_22432	KLF7	21
COQ9_44849	COQ9	57
ENTPD7_44942	ENTPD7	17
GGTLC1_56099	GGTLC1	37
CDC34_2822	CDC34	8
SYMPK_21373	SYMPK	5
ROR2_12910	ROR2	4
EPHX2_5695	EPHX2	33
P4HTM_40406	P4HTM	19
MUC20_64806	MUC20	14
PPFIA3_22257	PPFIA3	15
NETO2_51927	NETO2	16
UPF3A_48429	UPF3A	13
PIP5K1C_32684	PIP5K1C	35
TRMT10C_41035	TRMT10C	33
DVL2_5185	DVL2	29
TNPO3_33083	TNPO3	5
HPS1_8815	HPS1	16
GMCL1_47698	GMCL1	14
APELA_75862	APELA	22
TRIM4_55080	TRIM4	56
MICU3_68356	MICU3	75
CECR5_36146	CECR5	38
SIPA1L3_31711	SIPA1L3	31
ADORA2B_378	ADORA2B	19
SPACA4_64271	SPACA4	28
USH1C_26946	USH1C	19
PAPOLG_48224	PAPOLG	37
TTF2_21997	TTF2	12
ALDH1B1_614	ALDH1B1	10
PDPN_28732	PDPN	18
LEMD3_33257	LEMD3	24
FAM166A_72490	FAM166A	17
PPTC7_63364	PPTC7	16
CMC1_62618	CMC1	1
SMYD5_27751	SMYD5	7
IKBIP_58387	IKBIP	39
C12orf65_55885	C12orf65	10
CCNI2_73987	CCNI2	3
TUFT1_19737	TUFT1	17
MOB3B_50037	MOB3B	32
S100A7L2_74054	S100A7L2	11
FAM64A_40038	FAM64A	4
SCGB1D2_28789	SCGB1D2	29
NGFR_12590	NGFR	23
PAX1_13324	PAX1	42
PLEKHA2_46775	PLEKHA2	26
TBK1_36514	TBK1	22
BUB1B_1938	BUB1B	3
CPLX1_29257	CPLX1	2
TMEM176B_36219	TMEM176B	32
VIPR1_20168	VIPR1	14
ACTRT2_60863	ACTRT2	1
MEAF6_48001	MEAF6	3
POM121_26297	POM121	18
YBX2_37751	YBX2	26
PCDH7_13404	PCDH7	12
NMT1_12680	NMT1	11
FAM9C_64297	FAM9C	50
TFAP2D_52453	TFAP2D	58
AMPH_750	AMPH	18
PRSS3_15046	PRSS3	23
C1orf106_43304	C1orf106	18
AURKB_24200	AURKB	11
ZNF384_64253	ZNF384	7
MDFI_11271	MDFI	44
SETD2_36390	SETD2	12
ZNF226_20857	ZNF226	15
LRRC37B_57150	LRRC37B	4
ERP27_58395	ERP27	23
ANKRD18B_73130	ANKRD18B	6
GJA8_7158	GJA8	17
FAM83E_40776	FAM83E	35
GRAMD1A_46135	GRAMD1A	24
R3HDM2_31036	R3HDM2	14
CACNG4_35552	CACNG4	11
SYNRG_30675	SYNRG	18
GFOD2_51742	GFOD2	15
C7orf77_62940	C7orf77	23
NNMT_12684	NNMT	27
GTF2H2C_74638	GTF2H2C	7
NUMBL_24316	NUMBL	7
TRIM64B_73681	TRIM64B	24
CASS4_44944	CASS4	12
PCDHGC5_43875	PCDHGC5	33
TNFAIP8_33787	TNFAIP8	16
ZNF574_47984	ZNF574	6
TRMT10B_63134	TRMT10B	32
NAT1_11	NAT1	1
C18orf32_73461	C18orf32	22
APOC1_962	APOC1	11
OPCML_13042	OPCML	27
MAP7D2_66807	MAP7D2	25
RP1_16268	RP1	4
ZCCHC9_53192	ZCCHC9	32
WAC_38504	WAC	23
PLEKHG2_48192	PLEKHG2	10
NDUFAF4_36396	NDUFAF4	27
PRR27_72364	PRR27	36
RAB5B_15667	RAB5B	65
GEMIN5_34116	GEMIN5	8
CLTC_3436	CLTC	6
PIK3R6_61678	PIK3R6	13
MAP3K3_11347	MAP3K3	18
ZSCAN31_47607	ZSCAN31	21
FOSB_6550	FOSB	23
BRIP1_52754	BRIP1	10
ATP6AP1_1487	ATP6AP1	23
KTN1_10431	KTN1	10
FAIM3_24205	FAIM3	10
BNIP2_1827	BNIP2	13
BIRC6_45473	BIRC6	17
RHBDL2_41044	RHBDL2	9
LKAAEAR1_64538	LKAAEAR1	11
CTDP1_24033	CTDP1	12
PNRC2_42858	PNRC2	12
NDOR1_35713	NDOR1	5
RAB40B_29704	RAB40B	15
PMVK_28811	PMVK	11
THUMPD1_42833	THUMPD1	27
VTI1B_28272	VTI1B	7
AP4B1_28970	AP4B1	44
UBAP2L_26350	UBAP2L	21
HMGB2_8484	HMGB2	18
PTPRC_15465	PTPRC	9
NDUFC1_12356	NDUFC1	27
CDK17_13469	CDK17	14
GRIP2_51438	GRIP2	34
OR4A15_51553	OR4A15	31
ACMSD_59760	ACMSD	8
CDKN2C_2948	CDKN2C	12
MAVS_45666	MAVS	12
RAB28_24609	RAB28	29
RPE_16289	RPE	3
TSPY2_47845	TSPY2	2
PRMT6_41791	PRMT6	19
STOX2_44749	STOX2	26
ZNF761_71074	ZNF761	4
FN3KRP_49589	FN3KRP	10
EEF1A1_5305	EEF1A1	4
C2orf72_66916	C2orf72	45
