sgRNA	Gene	Clip2_3_NE_GFP_low_BC14_IGO_09496_6_S6
MRAP_44143	MRAP	95
NPAS3_47291	NPAS3	96
SLFN14_69414	SLFN14	67
MEI1_62322	MEI1	138
CDK5RAP1_39232	CDK5RAP1	66
KIAA0355_25700	KIAA0355	59
RBM18_56245	RBM18	89
TNFRSF25_22775	TNFRSF25	40
SETD7_51444	SETD7	19
STAG1_27596	STAG1	107
DRAM2_59504	DRAM2	86
AJUBA_54627	AJUBA	78
PXDN_20969	PXDN	212
TMSB15B_68476	TMSB15B	243
WFDC13_63763	WFDC13	258
GRHPR_24670	GRHPR	32
OR52B6_69270	OR52B6	56
SCN4A_16896	SCN4A	72
CRY1_3929	CRY1	37
MKL2_45636	MKL2	72
SIM2_17383	SIM2	235
LNX1_54094	LNX1	72
PGAP1_50663	PGAP1	184
PHF20_38190	PHF20	39
AMBN_706	AMBN	100
GHRHR_7123	GHRHR	42
CHST10_24977	CHST10	80
LIPN_73804	LIPN	29
GTSF1L_62221	GTSF1L	94
SPRR2A_18108	SPRR2A	38
ANKRD13B_58859	ANKRD13B	139
PHYHIPL_53652	PHYHIPL	268
RPGRIP1L_32451	RPGRIP1L	95
ZRANB1_40526	ZRANB1	110
PTPN18_35024	PTPN18	238
TRAM1_32891	TRAM1	152
DDB1_4597	DDB1	24
TGFBR3_19116	TGFBR3	160
FKBP9_30773	FKBP9	14
SPRED2_64753	SPRED2	51
RAB40B_29705	RAB40B	65
CHMP3_39229	CHMP3	191
ZNF705A_72866	ZNF705A	166
ITLN1_42749	ITLN1	79
DDX60L_55803	DDX60L	244
ZNF576_49088	ZNF576	120
PADI4_33205	PADI4	30
HAUS4_41031	HAUS4	12
HAS1_8176	HAS1	47
RAG1_15766	RAG1	44
ADCK4_50405	ADCK4	38
KCTD4_70648	KCTD4	111
THBS4_19151	THBS4	124
C11orf74_58187	C11orf74	38
SCPEP1_46788	SCPEP1	81
NUDT16L1_53433	NUDT16L1	160
HSPA1B_8928	HSPA1B	221
HEY2_32946	HEY2	73
PLA2G12A_51748	PLA2G12A	98
LDLR_10565	LDLR	40
NSUN5_43056	NSUN5	28
KCTD3_37920	KCTD3	337
MAPRE1_31231	MAPRE1	61
SULT2B1_18484	SULT2B1	175
SLC27A1_70580	SLC27A1	60
DNM1_4863	DNM1	55
OR4K2_71774	OR4K2	166
CCDC42B_70885	CCDC42B	58
GALNT18_70261	GALNT18	79
HBQ1_8218	HBQ1	53
OR52E2_58160	OR52E2	49
PRPSAP1_15018	PRPSAP1	38
TAS2R42_70111	TAS2R42	212
SLC47A2_61662	SLC47A2	42
BPY2C_73289	BPY2C	96
ANTXRL_64367	ANTXRL	25
IFITM5_70831	IFITM5	32
C3orf35_69046	C3orf35	68
ZNF714_61975	ZNF714	24
ZNF853_40493	ZNF853	6
ATP2B1_1378	ATP2B1	123
BMP2_1775	BMP2	27
TNFRSF6B_22922	TNFRSF6B	43
CRBN_38072	CRBN	221
PSMB7_15194	PSMB7	31
ZNF138_20681	ZNF138	174
LAMC3_27738	LAMC3	177
CDS1_2971	CDS1	55
MAP6_11119	MAP6	43
PKP4_22118	PKP4	68
GSPT1_7861	GSPT1	16
ECEL1_24805	ECEL1	89
TRMT13_40046	TRMT13	149
CBX5_32883	CBX5	147
SLC25A21_55195	SLC25A21	204
CT47A3_74560	CT47A3	40
GPATCH2_41575	GPATCH2	129
MAP7_23710	MAP7	181
TEX37_64726	TEX37	214
RAB39B_57756	RAB39B	108
STC1_18379	STC1	38
Non-Targeting Control_76597	Non-Targeting Control	386
PCDH19_45727	PCDH19	168
DOK3_50387	DOK3	95
ST8SIA3_37620	ST8SIA3	285
IFNA5_9215	IFNA5	93
COX6C_3724	COX6C	74
LMLN_55113	LMLN	69
CHRNG_3265	CHRNG	82
SLC4A2_17490	SLC4A2	102
HHEX_8331	HHEX	37
LDLRAD2_72523	LDLRAD2	80
PRAC2_70223	PRAC2	47
FAM126B_68044	FAM126B	61
PLEKHH1_45568	PLEKHH1	58
FIP1L1_51771	FIP1L1	59
OR2T8_69517	OR2T8	149
MARVELD3_56034	MARVELD3	91
WIPI2_34575	WIPI2	81
LSMEM1_68334	LSMEM1	54
RAP2C_46448	RAP2C	83
BRS3_1887	BRS3	129
PTGER2_15329	PTGER2	188
LRRC3C_75835	LRRC3C	102
CPA2_3765	CPA2	82
ERBB2_5732	ERBB2	40
RINL_59163	RINL	83
F5_5959	F5	27
SLC28A3_47309	SLC28A3	254
STK35_61080	STK35	170
PRRC2C_32107	PRRC2C	26
SPACA7_58460	SPACA7	59
SLC22A13_24690	SLC22A13	70
HNMT_8565	HNMT	373
RUFY2_43013	RUFY2	111
FAM117A_51688	FAM117A	82
PANX3_57727	PANX3	139
LGALS4_10605	LGALS4	60
CCDC47_44831	CCDC47	91
GRPR_7837	GRPR	115
DIRAS1_61990	DIRAS1	228
PSTPIP1_23703	PSTPIP1	108
FAM228A_74249	FAM228A	105
SIMC1_70501	SIMC1	53
LYZL2_58120	LYZL2	164
HYLS1_65389	HYLS1	185
CCL8_16981	CCL8	32
HSF2BP_30050	HSF2BP	170
OIT3_64141	OIT3	148
PGBD2_67095	PGBD2	74
ICA1L_59764	ICA1L	184
RUNX1_2403	RUNX1	130
SLC1A3_17434	SLC1A3	160
STRN4_36704	STRN4	23
WIZ_46667	WIZ	64
RNF113A_20770	RNF113A	29
OR52N2_71596	OR52N2	63
CLCN2_3346	CLCN2	29
NOD2_47437	NOD2	44
KIAA2013_55359	KIAA2013	80
CHRM4_3211	CHRM4	34
SLC22A12_57630	SLC22A12	30
JTB_29475	JTB	56
HMSD_67717	HMSD	80
YTHDF3_66365	YTHDF3	45
MFAP3L_26175	MFAP3L	30
CDH7_2856	CDH7	27
IFI44L_29697	IFI44L	63
KRTAP13-3_68627	KRTAP13-3	57
TMEM176B_36221	TMEM176B	65
ABCC5_26863	ABCC5	49
TMEM180_50140	TMEM180	23
CCDC70_52109	CCDC70	159
ANO5_65133	ANO5	172
CRCT1_40203	CRCT1	232
CCNC_2488	CCNC	35
PAK6_44595	PAK6	59
SIK2_32175	SIK2	52
VGLL2_66111	VGLL2	83
PRM3_46691	PRM3	184
CLEC3A_27146	CLEC3A	41
S100PBP_47993	S100PBP	34
TMEM230_36362	TMEM230	126
POLD3_28956	POLD3	16
NAT6_33612	NAT6	51
DCTN2_28426	DCTN2	36
VPS18_46035	VPS18	106
SPATA5_63883	SPATA5	40
ZRANB2_24739	ZRANB2	140
ABHD15_57701	ABHD15	61
SPANXN2_73423	SPANXN2	31
MPZL3_64380	MPZL3	141
PADI1_36853	PADI1	37
WFDC1_46506	WFDC1	155
PHACTR3_57672	PHACTR3	16
TMEM126A_53179	TMEM126A	215
RFPL1_16057	RFPL1	36
DSE_36839	DSE	26
FBXO10_34888	FBXO10	125
C16orf78_58681	C16orf78	63
ABCA3_52	ABCA3	36
C22orf39_59652	C22orf39	162
DLG1_4803	DLG1	17
RAB14_39012	RAB14	65
ATP6V1G2_1477	ATP6V1G2	150
ARMC9_50920	ARMC9	40
DENND1B_63690	DENND1B	72
ANKRD63_75366	ANKRD63	163
C11orf21_36559	C11orf21	172
PRODH2_46635	PRODH2	387
HIST1H3J_21722	HIST1H3J	99
AADACL2_69622	AADACL2	60
ATP6V0A2_33117	ATP6V0A2	92
C11orf31_67111	C11orf31	34
NXNL1_57585	NXNL1	95
HMGCLL1_40116	HMGCLL1	72
NRDE2_41425	NRDE2	18
ITPRIPL2_63485	ITPRIPL2	146
KLF13_39159	KLF13	37
TNFRSF12A_38523	TNFRSF12A	252
PPP3CA_14664	PPP3CA	131
CABLES1_56000	CABLES1	84
FUCA2_6632	FUCA2	123
VPS4A_35770	VPS4A	26
LRRC7_45825	LRRC7	51
CDH17_2889	CDH17	160
NOS1AP_25737	NOS1AP	89
LDLRAP1_34599	LDLRAP1	67
GSTT2B_74395	GSTT2B	241
TAF1D_48948	TAF1D	137
ADSS_445	ADSS	85
ANGPTL5_66362	ANGPTL5	133
PLK5_59170	PLK5	170
VPS51_2042	VPS51	3
FAM227A_74138	FAM227A	12
TRIQK_68371	TRIQK	101
RNF32_60831	RNF32	111
SLITRK2_53888	SLITRK2	180
ACBD5_55856	ACBD5	185
LIN7C_42336	LIN7C	19
DHDH_35957	DHDH	105
UHMK1_59443	UHMK1	32
EPHA10_67953	EPHA10	120
LRRC57_66591	LRRC57	44
TMEM129_56198	TMEM129	145
SERF1A_21530	SERF1A	60
KRTAP25-1_75410	KRTAP25-1	105
TRMT1_42826	TRMT1	44
ZNF746_62965	ZNF746	118
OVCA2_58797	OVCA2	34
AGPAT4_44491	AGPAT4	109
SLC2A12_62867	SLC2A12	147
GYPA_8035	GYPA	80
OR4P4_51538	OR4P4	118
CA2_2100	CA2	200
CNN2_3514	CNN2	115
ANKZF1_41687	ANKZF1	59
ZNF630_45335	ZNF630	102
OR6V1_69744	OR6V1	202
C2orf15_62363	C2orf15	35
C17orf58_67593	C17orf58	34
C12orf71_74801	C12orf71	320
UGGT1_44461	UGGT1	26
WDR66_61328	WDR66	51
LDLRAD4_2076	LDLRAD4	58
NTN4_46740	NTN4	115
MTOR_6583	MTOR	6
TMEM252_64084	TMEM252	128
SYCP2_27915	SYCP2	227
EVI5_20956	EVI5	39
SPATA6_40249	SPATA6	139
TRAPPC5_59002	TRAPPC5	4
GSC_61395	GSC	104
CATSPER2_57904	CATSPER2	71
PLEKHH3_50539	PLEKHH3	74
CHST13_63871	CHST13	63
ABHD17B_37818	ABHD17B	103
KIF2B_53915	KIF2B	80
XK_20340	XK	160
EPM2A_21119	EPM2A	90
PEF1_73557	PEF1	309
IPO7_28382	IPO7	65
MOCS2_11676	MOCS2	58
CCKAR_2467	CCKAR	60
BCL2L14_49202	BCL2L14	34
FGB_6226	FGB	123
ZC3H12A_50793	ZC3H12A	42
RGS1_16092	RGS1	90
OR2C3_51590	OR2C3	65
ABI1_26707	ABI1	73
CLDND2_58950	CLDND2	221
EPOR_5712	EPOR	50
ARHGEF38_40753	ARHGEF38	77
PLA2G6_21832	PLA2G6	61
TSPAN15_33155	TSPAN15	79
BDH1_1685	BDH1	91
OR5H2_49153	OR5H2	41
SAFB_16791	SAFB	42
C6orf52_69892	C6orf52	136
NCCRP1_69434	NCCRP1	166
LYZL4_59929	LYZL4	128
ACOX2_21555	ACOX2	48
Non-Targeting Control_77078	Non-Targeting Control	295
TSPYL5_54970	TSPYL5	188
CKS2_3315	CKS2	128
TCHP_53253	TCHP	69
LCLAT1_66311	LCLAT1	116
GRHL1_36653	GRHL1	141
ZNF672_50287	ZNF672	196
C2orf83_44576	C2orf83	196
CAMKV_48710	CAMKV	119
MAOB_11099	MAOB	382
HEPN1_73666	HEPN1	13
KLK7_15057	KLK7	94
NIM1K_63950	NIM1K	65
TSC2_19634	TSC2	15
GRM8_7815	GRM8	91
MAPK6_14894	MAPK6	34
PHOX2A_1162	PHOX2A	151
METTL2A_68862	METTL2A	40
TRIM43B_74260	TRIM43B	130
C4orf32_60085	C4orf32	140
FBXO39_63543	FBXO39	54
KRTAP9-2_52655	KRTAP9-2	303
ADSS_446	ADSS	51
NACC2_60553	NACC2	32
HHAT_43185	HHAT	45
ZNF575_67764	ZNF575	216
PHF6_53385	PHF6	362
SH2D6_68004	SH2D6	192
CCL7_16979	CCL7	130
PHF6_53383	PHF6	176
MIA_21378	MIA	80
CXorf51A_75193	CXorf51A	89
POU4F1_14461	POU4F1	165
SBDS_37869	SBDS	25
ZNF416_42948	ZNF416	104
TRMT61A_57547	TRMT61A	181
SECTM1_17112	SECTM1	129
EPPIN-WFDC6_76037	EPPIN-WFDC6	170
ABCC4_27542	ABCC4	87
BATF3_42576	BATF3	46
ABHD2_29977	ABHD2	59
COX8A_3741	COX8A	86
HIST1H2BE_21675	HIST1H2BE	89
ACTG2_198	ACTG2	168
ISOC2_49879	ISOC2	40
TNFSF9_22866	TNFSF9	71
FNDC4_48132	FNDC4	139
LRFN3_49220	LRFN3	107
PRPH_15007	PRPH	39
ITGA5_9761	ITGA5	107
TYMS_19786	TYMS	49
AKAP7_24916	AKAP7	180
SPAG16_49315	SPAG16	38
SLITRK6_53084	SLITRK6	166
ZNF24_20526	ZNF24	86
MAP2K5_14935	MAP2K5	120
PDE7A_13551	PDE7A	51
SENP8_58603	SENP8	90
SH3PXD2A_25462	SH3PXD2A	158
ITGAX_9795	ITGAX	54
CERS4_49368	CERS4	116
OPRK1_13059	OPRK1	93
LBR_10522	LBR	178
GIMAP1_64176	GIMAP1	146
FAM162B_65752	FAM162B	3
SPIN1_29573	SPIN1	169
DNAI2_47810	DNAI2	29
DLG4_4813	DLG4	96
CD81_2761	CD81	81
SHARPIN_51990	SHARPIN	185
PODNL1_50247	PODNL1	100
LIMK2_10665	LIMK2	115
DLGAP3_46646	DLGAP3	128
HOXA2_8636	HOXA2	114
SCYL1_45438	SCYL1	33
CCDC146_46092	CCDC146	59
GOLIM4_36046	GOLIM4	33
C10orf113_70791	C10orf113	102
ONECUT3_71860	ONECUT3	184
FAM185A_65976	FAM185A	104
OR13G1_73224	OR13G1	41
AGBL2_50118	AGBL2	77
SMARCD1_17767	SMARCD1	156
ADAM30_30078	ADAM30	17
MDFI_11269	MDFI	138
COL10A1_3631	COL10A1	146
BMP8B_1797	BMP8B	28
CCDC107_65081	CCDC107	54
CXorf51B_75469	CXorf51B	122
LILRA2_29895	LILRA2	47
SMOC1_47348	SMOC1	85
NUP205_31930	NUP205	34
STMND1_72386	STMND1	120
NEK8_67631	NEK8	83
DDX50_48705	DDX50	129
SYT16_52515	SYT16	273
PRRC2C_32110	PRRC2C	178
CLEC1B_38295	CLEC1B	50
ANKRD26_31000	ANKRD26	242
ADPRH_388	ADPRH	35
RNASE7_53956	RNASE7	156
PTGER2_15330	PTGER2	153
UBE2W_42198	UBE2W	112
CEP78_52955	CEP78	114
CYB5R4_38019	CYB5R4	21
MSMP_74458	MSMP	98
METTL25_53087	METTL25	78
CACNA2D3_43415	CACNA2D3	245
ALKBH8_56012	ALKBH8	58
S100Z_64183	S100Z	38
CORO7-PAM16_76108	CORO7-PAM16	38
NPLOC4_42976	NPLOC4	28
SLC38A8_61525	SLC38A8	115
ZNF582_61911	ZNF582	86
METRN_48691	METRN	45
FXR1_21274	FXR1	91
TRIQK_68372	TRIQK	302
CASC4_56960	CASC4	151
GAPT_64991	GAPT	172
MED29_42726	MED29	79
C20orf194_34160	C20orf194	52
CDH5_2845	CDH5	72
LRCH2_46075	LRCH2	112
REEP5_21057	REEP5	192
ZNF428_59101	ZNF428	66
SRSF3_17199	SRSF3	12
METAP1_31962	METAP1	72
CACNG3_27865	CACNG3	279
ADPRHL1_57030	ADPRHL1	47
ADGRG3_66003	ADGRG3	194
MANBA_11089	MANBA	155
EFR3B_31353	EFR3B	116
TMPRSS6_63788	TMPRSS6	51
CT47A9_74537	CT47A9	106
LTBP3_10851	LTBP3	88
KCTD12_57434	KCTD12	64
PIP4K2A_14020	PIP4K2A	53
HIST1H3H_21726	HIST1H3H	110
ERAS_8826	ERAS	26
FKBP1B_6352	FKBP1B	180
SLC27A4_29801	SLC27A4	39
PER2_23235	PER2	76
FIBIN_70842	FIBIN	20
TIMM17A_28090	TIMM17A	86
ACCSL_71622	ACCSL	114
PARP2_26789	PARP2	61
DSPP_5112	DSPP	120
ISL2_48147	ISL2	163
TRIM10_27031	TRIM10	89
GPAA1_22828	GPAA1	51
CTSK_4260	CTSK	199
MYH7_12043	MYH7	42
OBFC1_50543	OBFC1	125
CLDN23_60466	CLDN23	224
KCTD3_37921	KCTD3	127
DPP10_46068	DPP10	252
10-Mar_63503	10-Mar	76
IL1RAP_9385	IL1RAP	44
WDR26_50982	WDR26	53
MRPS35_46898	MRPS35	53
DDX28_43400	DDX28	54
POLR3A_30202	POLR3A	7
NFATC1_12492	NFATC1	87
DACT2_63984	DACT2	60
NYX_46934	NYX	344
WDR53_69970	WDR53	43
TNPO3_33083	TNPO3	38
KIF4A_33594	KIF4A	51
CCDC61_74921	CCDC61	61
F11_5980	F11	37
NLRP9_68697	NLRP9	118
TMEM30A_43259	TMEM30A	115
ITGB1BP2_35169	ITGB1BP2	80
GBP5_57483	GBP5	179
SSX4_18313	SSX4	97
GPATCH8_31816	GPATCH8	70
C5orf15_44690	C5orf15	47
C20orf196_62230	C20orf196	44
FER1L6_74442	FER1L6	166
BPGM_1851	BPGM	14
FAM227B_64474	FAM227B	54
ZFYVE26_32963	ZFYVE26	49
PDIK1L_62161	PDIK1L	59
UCP2_19921	UCP2	56
SLC45A1_37311	SLC45A1	92
MPPED1_2090	MPPED1	46
SETD1B_31633	SETD1B	173
IFNA4_9211	IFNA4	19
REG3G_59777	REG3G	179
OR13C2_72027	OR13C2	107
SRGAP3_26364	SRGAP3	71
RHOT1_42213	RHOT1	38
CNR2_3529	CNR2	52
CCDC120_55285	CCDC120	213
ARHGEF5_21149	ARHGEF5	76
ADAMTS4_25040	ADAMTS4	43
TGIF2-C20orf24_76060	TGIF2-C20orf24	74
SLC6A15_41622	SLC6A15	64
TRPT1_52406	TRPT1	120
EAF2_43540	EAF2	64
CORO1B_45201	CORO1B	67
ZNF136_20680	ZNF136	116
BCKDK_27671	BCKDK	61
PCCB_13392	PCCB	86
GABRB1_6761	GABRB1	182
ADM2_50373	ADM2	50
AIF1_552	AIF1	100
SPINK1_18067	SPINK1	254
GALR2_23055	GALR2	136
G6PC_6698	G6PC	42
MAST4_70499	MAST4	121
LRP3_10795	LRP3	82
PODXL2_37237	PODXL2	61
NOS2_12704	NOS2	24
SMCO4_44628	SMCO4	23
KSR2_67375	KSR2	366
SLC20A2_17684	SLC20A2	403
CKB_3277	CKB	201
FREM2_69341	FREM2	103
MS4A15_65520	MS4A15	52
CDNF_73170	CDNF	25
ANKRD39_38215	ANKRD39	98
IFT46_44553	IFT46	178
PRDM8_44753	PRDM8	154
PRADC1_53324	PRADC1	121
MIB2_61091	MIB2	62
MCFD2_55461	MCFD2	88
LGI2_41913	LGI2	37
TMEM232_73737	TMEM232	133
EDEM1_25642	EDEM1	60
CHST5_33183	CHST5	83
CTSH_4255	CTSH	184
PDE7A_13549	PDE7A	153
HDHD2_52818	HDHD2	69
DCAF4L1_68155	DCAF4L1	38
PEMT_27963	PEMT	58
RFXAP_16081	RFXAP	150
PERP_47284	PERP	158
OR51T1_72504	OR51T1	158
VKORC1_48671	VKORC1	66
EVX2_69599	EVX2	101
CDK2AP2_27557	CDK2AP2	168
BCL2L15_72984	BCL2L15	230
MAFB_26488	MAFB	121
ELF5_5520	ELF5	41
EMILIN3_55335	EMILIN3	126
ADPGK_52088	ADPGK	71
XKRX_72561	XKRX	59
PABPN1L_71845	PABPN1L	68
TBC1D4_26295	TBC1D4	116
EZR_20154	EZR	92
SCARA5_68366	SCARA5	208
COL13A1_3648	COL13A1	108
RALGPS1_25484	RALGPS1	62
NOL3_23564	NOL3	59
ZNF491_59021	ZNF491	137
FKBP1B_6349	FKBP1B	163
FERMT3_52402	FERMT3	79
RABGAP1L_26399	RABGAP1L	176
TNPO2_37025	TNPO2	159
C9orf116_60557	C9orf116	60
BRCA1_1862	BRCA1	2
ZZEF1_31848	ZZEF1	155
B3GNTL1_61636	B3GNTL1	144
SPTBN4_46359	SPTBN4	35
ANKMY2_44876	ANKMY2	90
IDI1_9160	IDI1	23
TMOD1_19336	TMOD1	54
SLC11A1_17609	SLC11A1	44
LAG3_10445	LAG3	184
SLC15A3_38399	SLC15A3	88
STK35_61077	STK35	78
CT55_41163	CT55	161
MVB12A_56495	MVB12A	94
CREBZF_46556	CREBZF	92
TSNARE1_65026	TSNARE1	63
PRPF40B_33659	PRPF40B	70
CSNK1G3_4083	CSNK1G3	133
CYP2W1_40960	CYP2W1	33
FAM83F_57062	FAM83F	80
UBP1_19893	UBP1	188
SNX18_56816	SNX18	47
STAG2_29021	STAG2	172
KRT78_64392	KRT78	36
C19orf18_61817	C19orf18	29
GRXCR2_73756	GRXCR2	199
NKAP_49305	NKAP	23
PIP_14016	PIP	128
WWC3_43546	WWC3	157
MFHAS1_24329	MFHAS1	85
NPFFR1_47384	NPFFR1	167
TUBD1_38042	TUBD1	185
OR13G1_73221	OR13G1	74
C9orf92_75204	C9orf92	87
CYB5RL_73609	CYB5RL	94
ETS2_5841	ETS2	102
AVPR2_1534	AVPR2	159
CARTPT_25348	CARTPT	48
ATP10B_31788	ATP10B	73
PRKRIP1_49694	PRKRIP1	63
EVX2_69597	EVX2	69
TXNIP_28721	TXNIP	134
RPH3A_31148	RPH3A	44
TBC1D28_66456	TBC1D28	136
LMOD1_33754	LMOD1	150
SLC4A5_46472	SLC4A5	74
FBRS_47617	FBRS	139
SLITRK1_57225	SLITRK1	92
FAM91A1_63053	FAM91A1	40
CHMP4A_36414	CHMP4A	71
IL31RA_60152	IL31RA	107
LY6H_10884	LY6H	104
HBS1L_29110	HBS1L	110
MAP2K6_14937	MAP2K6	194
NBN_12227	NBN	40
MMP14_11626	MMP14	103
TMEM170A_58749	TMEM170A	257
PDP2_45802	PDP2	94
TOX4_26280	TOX4	39
NEUROD6_47241	NEUROD6	282
EDEM2_43214	EDEM2	52
PNMAL1_42010	PNMAL1	241
SUMF2_33946	SUMF2	115
CD34_2654	CD34	77
C7orf66_62945	C7orf66	459
ZNF35_20551	ZNF35	55
UTP14A_29247	UTP14A	68
SULT1C4_35820	SULT1C4	229
PROZ_23215	PROZ	114
QKI_24847	QKI	178
GOLGA7_37887	GOLGA7	63
PTPN14_15456	PTPN14	142
FKBP3_6360	FKBP3	51
H1FOO_60046	H1FOO	89
SDR16C5_64353	SDR16C5	222
SEC22C_23907	SEC22C	137
ZNF728_71041	ZNF728	94
TCEA2_18796	TCEA2	54
BLOC1S5_47124	BLOC1S5	118
SMARCA5_22021	SMARCA5	153
PEX13_13694	PEX13	71
CEACAM3_3089	CEACAM3	94
OTX2_13145	OTX2	98
SNURF_23420	SNURF	150
HS3ST6_47910	HS3ST6	173
UBA5_50234	UBA5	53
FOXN2_9002	FOXN2	120
PPP1R14A_56754	PPP1R14A	52
C17orf97_72215	C17orf97	242
ITCH_52444	ITCH	87
NEFH_12431	NEFH	196
ERN1_5786	ERN1	84
PKD2L2_35462	PKD2L2	171
CD33_2647	CD33	57
FTSJ1_33606	FTSJ1	99
AVPR1A_1526	AVPR1A	149
DTX1_5130	DTX1	40
CMTM7_56825	CMTM7	33
ACRC_56601	ACRC	124
RFX4_16074	RFX4	61
KLRC2_10229	KLRC2	180
PSMD14_27379	PSMD14	30
FRZB_6592	FRZB	119
PPP3CC_14675	PPP3CC	165
ZNF550_63588	ZNF550	150
SPANXN3_60650	SPANXN3	221
FBXW4_17310	FBXW4	16
ACTL10_64164	ACTL10	181
NXPE2_58260	NXPE2	92
TGM3_19131	TGM3	55
LILRA6_49058	LILRA6	119
AGTPBP1_32347	AGTPBP1	45
FOXK1_65921	FOXK1	34
DCD_57913	DCD	144
DCAF4L2_60540	DCAF4L2	143
MEIKIN_74748	MEIKIN	31
USMG5_54258	USMG5	197
XIRP2_59690	XIRP2	127
VWDE_65887	VWDE	81
SLC2A12_62865	SLC2A12	153
BATF_28418	BATF	100
AIDA_48177	AIDA	48
DACT3_61885	DACT3	96
ADAM2_6620	ADAM2	82
AES_476	AES	173
AASDHPPT_46929	AASDHPPT	228
RAB43_68847	RAB43	212
ZFYVE19_54537	ZFYVE19	40
ARRDC4_56061	ARRDC4	179
CRIPAK_68164	CRIPAK	88
C2orf69_65162	C2orf69	70
PAK1IP1_41283	PAK1IP1	5
ZBTB22_24388	ZBTB22	33
HMG20B_27850	HMG20B	177
LOC388436_71030	LOC388436	51
N4BP2L2_28094	N4BP2L2	94
APPL2_41896	APPL2	91
RNF19B_59373	RNF19B	186
RIMBP3C_62278	RIMBP3C	105
LCN2_10539	LCN2	50
SYT7_23751	SYT7	18
ZFAND2A_55567	ZFAND2A	83
RRP8_32626	RRP8	93
PCNXL2_50564	PCNXL2	114
GOLGA8B_72905	GOLGA8B	76
ARNT2_26419	ARNT2	113
GPR6_7511	GPR6	56
NHLRC2_70253	NHLRC2	238
KCNN3_10111	KCNN3	185
ERICH5_65056	ERICH5	92
ZNF135_20676	ZNF135	103
TBC1D20_59582	TBC1D20	34
CKM_3293	CKM	106
SPINK8_74085	SPINK8	117
ZIM2_33329	ZIM2	335
XPO5_45682	XPO5	71
STX2_5700	STX2	46
HEPHL1_69296	HEPHL1	112
ARFRP1_27135	ARFRP1	10
ZFAND6_40006	ZFAND6	87
SPRN_73472	SPRN	90
TRIB1_27412	TRIB1	202
CSAG1_63192	CSAG1	370
NINL_31361	NINL	128
MYL6B_60819	MYL6B	32
POU3F2_14454	POU3F2	78
NDUFA13_37725	NDUFA13	17
CREB3L4_62010	CREB3L4	103
TULP1_19743	TULP1	37
PLP2_14204	PLP2	156
CCDC57_67584	CCDC57	53
ATP9A_26935	ATP9A	32
PCDH17_35892	PCDH17	37
ZNF691_37644	ZNF691	131
SNTN_60034	SNTN	116
GPR1_7489	GPR1	192
ZNF606_50690	ZNF606	66
WBSCR17_47728	WBSCR17	74
ALCAM_593	ALCAM	108
ADGRG5_65723	ADGRG5	73
TMEM167A_62771	TMEM167A	170
ZBTB41_70205	ZBTB41	34
CCDC124_57410	CCDC124	81
C11orf31_67112	C11orf31	24
RGL1_31984	RGL1	87
NEFH_12432	NEFH	80
ULK1_21864	ULK1	43
CAGE1_68281	CAGE1	96
Non-Targeting Control_77327	Non-Targeting Control	373
PNOC_14249	PNOC	165
SSX2IP_57928	SSX2IP	62
TSPAN7_19300	TSPAN7	266
BPIFB1_56343	BPIFB1	63
CD3EAP_29322	CD3EAP	12
MRGPRG_70712	MRGPRG	72
SCN4A_16895	SCN4A	64
PIP4K2B_21827	PIP4K2B	56
PDE1A_13494	PDE1A	78
TRIML1_69068	TRIML1	132
LRRC25_59132	LRRC25	45
DBNDD1_48698	DBNDD1	108
PRKDC_14872	PRKDC	80
CNPY2_27778	CNPY2	69
MPC1L_69813	MPC1L	179
LOH12CR1_58006	LOH12CR1	141
PRKCD_14826	PRKCD	103
IL36A_35758	IL36A	51
RNF149_68009	RNF149	55
FAM24A_58062	FAM24A	122
AGR2_28455	AGR2	93
LKAAEAR1_64538	LKAAEAR1	40
USP10_23866	USP10	84
OGFOD2_49606	OGFOD2	113
ZDHHC1_36637	ZDHHC1	63
LECT2_10569	LECT2	122
CORO2A_20237	CORO2A	145
ELL2_31287	ELL2	80
AQP10_55192	AQP10	25
LILRB4_29821	LILRB4	144
REG1A_15988	REG1A	26
NFYA_12575	NFYA	28
KRTAP21-2_68684	KRTAP21-2	37
BCAS4_42926	BCAS4	168
CLEC16A_32310	CLEC16A	132
MSMB_11773	MSMB	40
RNF26_48954	RNF26	110
RNF224_73807	RNF224	112
HNRNPUL2_65694	HNRNPUL2	27
IL17REL_72305	IL17REL	293
HIST1H2BO_21691	HIST1H2BO	151
PTTG1_24258	PTTG1	110
VN1R1_45258	VN1R1	41
RAB7B_68725	RAB7B	179
SPCS3_46956	SPCS3	261
C8orf37_63032	C8orf37	25
C2orf74_69028	C2orf74	48
ULK3_34280	ULK3	48
THOC5_22329	THOC5	101
DAAM2_32962	DAAM2	187
TCTE1_65002	TCTE1	270
DNAJA4_42528	DNAJA4	70
ZIC4_52925	ZIC4	29
OR2K2_34832	OR2K2	84
ARSD_1205	ARSD	110
ANKS4B_66921	ANKS4B	59
ROPN1B_62601	ROPN1B	81
GLCE_34406	GLCE	146
EFHC2_51011	EFHC2	145
SLC47A2_61663	SLC47A2	75
EXT2_5903	EXT2	50
LDAH_46941	LDAH	135
CHIC2_35094	CHIC2	167
TNFRSF6B_22921	TNFRSF6B	74
OR51S1_58176	OR51S1	141
SHISA5_38228	SHISA5	58
